Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$348,990+","Wren - Plan 1003 Plan, The Brambles   Starling Townhomes",Wren - Plan 1003 Plan,TheBramblesStarlingTownhomes,null,null,2,2,"1,383",No Data,null,Townhouse,2021,No Data,null,null,null,$252,https://www.zillow.com/community/brambles-starling-townhomes/2072253486_zpid/
,"$1,025,000+","Newport - Plan 1 Plan, Newport at Compass Bay",Newport - Plan 1 Plan,NewportatCompassBay,null,null,3,4,"1,871",No Data,null,Townhouse,2021,0 spaces,null,null,null,$548,https://www.zillow.com/community/newport-at-compass-bay/2073470478_zpid/
,"$820,990+","Plan 2 Plan, Lookout at Bay37",Plan 2 Plan,LookoutatBay37,null,null,2,2,"1,138",No Data,null,Townhouse,2021,No Data,null,null,null,$721,https://www.zillow.com/community/lookout-at-bay37/2071614821_zpid/
,"$748,000","4744 Canyon River Ct, San Jose, CA 95136",4744 Canyon River Ct,SanJose,CA,95136,3,3,"1,496","1,698 sqft",1698.0,Townhouse,1977,Garage - Detached,$382 monthly,"$796,888","$3,250/mo",$500,https://www.zillow.com/homedetails/4744-Canyon-River-Ct-San-Jose-CA-95136/19702175_zpid/
JC PACIFIC CAPITAL INC.,"$730,000","1006 Arcadia Ave UNIT H, Arcadia, CA 91007",1006 Arcadia Ave UNIT H,Arcadia,CA,91007,2,3,"1,514","19,000 sqft",19000.0,Townhouse,1980,Garage - Attached,$395 monthly,"$688,951","$2,975/mo",$482,https://www.zillow.com/homedetails/1006-Arcadia-Ave-UNIT-H-Arcadia-CA-91007/20893708_zpid/
,"$1,090,000","39 Willow Ln, Sausalito, CA 94965",39 Willow Ln,Sausalito,CA,94965,3,3,"1,718","1,054 sqft",1054.0,Townhouse,1979,"Assigned, Covered, Uncovered Parking Space",$732 monthly,"$1,143,305","$4,500/mo",$634,https://www.zillow.com/homedetails/39-Willow-Ln-Sausalito-CA-94965/19269766_zpid/
COLDWELL BANKER REALTY,"$950,000","627 N Guadalupe Ave UNIT 3, Redondo Beach, CA 90277",627 N Guadalupe Ave UNIT 3,RedondoBeach,CA,90277,3,3,"1,291","26,048 sqft",26048.0,Townhouse,1977,"Garage, Garage Door Opener",$325 monthly,"$995,918","$3,750/mo",$736,https://www.zillow.com/homedetails/627-N-Guadalupe-Ave-UNIT-3-Redondo-Beach-CA-90277/21317705_zpid/
CENTURY 21 SUNNY HILLS,"$499,000","4125 Carol Dr, Fullerton, CA 92833",4125 Carol Dr,Fullerton,CA,92833,2,2,"1,096",No Data,null,Townhouse,1988,"Garage, Garage Door Opener, Parking Space",$200 monthly,null,null,$455,https://www.zillow.com/homedetails/4125-Carol-Dr-Fullerton-CA-92833/2071758088_zpid/
"WON SUK KIM REAL ESTATES, INC.","$625,000","1133 S Hoover St APT 103, Los Angeles, CA 90006",1133 S Hoover St APT 103,LosAngeles,CA,90006,2,3,"1,140","21,827 sqft",21827.0,Townhouse,2006,"Garage, Carport",$400 monthly,"$638,554","$2,600/mo",$548,https://www.zillow.com/homedetails/1133-S-Hoover-St-APT-103-Los-Angeles-CA-90006/82750293_zpid/
EXP REALTY OF CALIFORNIA INC.,"$1,149,000","24007 Los Codona Ave, Torrance, CA 90505",24007 Los Codona Ave,Torrance,CA,90505,4,3,"2,490","18,404 sqft",18404.0,Townhouse,2001,"Assigned, Garage",$200 monthly,"$1,338,586","$3,691/mo",$461,https://www.zillow.com/homedetails/24007-Los-Codona-Ave-Torrance-CA-90505/59893742_zpid/
NEW STAR REALTY & INVESTMENT,"$684,990","11230 Paseo Sonesta, Northridge, CA 91326",11230 Paseo Sonesta,Northridge,CA,91326,2,3,"1,375","35,592 sqft",35592.0,Townhouse,2010,Garage,$424 monthly,"$724,551","$3,000/mo",$498,https://www.zillow.com/homedetails/11230-Paseo-Sonesta-Northridge-CA-91326/92426239_zpid/
E 2000 REALTY,"$558,000","4335 Merced Ave, Baldwin Park, CA 91706",4335 Merced Ave,BaldwinPark,CA,91706,3,3,"1,705","25,630 sqft",25630.0,Townhouse,1992,Garage - Attached,$130 monthly,"$560,669","$2,800/mo",$327,https://www.zillow.com/homedetails/4335-Merced-Ave-Baldwin-Park-CA-91706/21596970_zpid/
,"$825,000","473 Lenzen Ct, San Jose, CA 95126",473 Lenzen Ct,SanJose,CA,95126,2,2,"1,100","1,860 sqft",1860.0,Townhouse,1988,Garage - Attached,$300 monthly,"$847,843","$2,800/mo",$750,https://www.zillow.com/homedetails/473-Lenzen-Ct-San-Jose-CA-95126/19574719_zpid/
,"$599,950","6345 Joaquin Murieta Ave APT B, Newark, CA 94560",6345 Joaquin Murieta Ave APT B,Newark,CA,94560,2,2,"1,132",919 sqft,919.0,Townhouse,1981,0 spaces,$470 monthly,"$619,003","$2,500/mo",$530,https://www.zillow.com/homedetails/6345-Joaquin-Murieta-Ave-APT-B-Newark-CA-94560/25060245_zpid/
,"$629,000","764 Gettysburg Way, Gilroy, CA 95020",764 Gettysburg Way,Gilroy,CA,95020,3,3,"1,663","1,772 sqft",1772.0,Townhouse,1985,Garage - Attached,$370 monthly,"$671,112","$3,200/mo",$378,https://www.zillow.com/homedetails/764-Gettysburg-Way-Gilroy-CA-95020/19858454_zpid/
CORCORAN GLOBAL LIVING,"$1,359,000","2004 Bataan Rd #B, Redondo Beach, CA 90278",2004 Bataan Rd #B,RedondoBeach,CA,90278,4,3,"2,169","7,501 sqft",7501.0,Townhouse,1999,"Garage, Garage Door Opener, Parking Space, Shared Driveway",null,"$1,312,703","$3,883/mo",$627,https://www.zillow.com/homedetails/2004-Bataan-Rd-B-Redondo-Beach-CA-90278/51582147_zpid/
CARR LONG REAL ESTATE,"$925,000","4001 Northstar Dr UNIT 406, Truckee, CA 96161",4001 Northstar Dr UNIT 406,Truckee,CA,96161,2,2,"1,205",No Data,null,Townhouse,2006,"Heated Garage, One","$3,696 quarterly","$3,529/mo",null,$768,https://www.zillow.com/homedetails/4001-Northstar-Dr-UNIT-406-Truckee-CA-96161/68559583_zpid/
,"$1,048,000","4912 Ivyleaf Springs Rd, San Ramon, CA 94582",4912 Ivyleaf Springs Rd,SanRamon,CA,94582,3,3,"2,203","57,107,160 sqft",57107160.0,Townhouse,2010,"Garage Door Opener, Attached, Int Access From Garage",$195 monthly,"$3,500/mo",null,$476,https://www.zillow.com/homedetails/4912-Ivyleaf-Springs-Rd-San-Ramon-CA-94582/111376938_zpid/
,"$782,500+","Plan Three Plan, Silveroak at IronRidge",Plan Three Plan,SilveroakatIronRidge,null,null,3,3,"1,693",No Data,null,Townhouse,2021,No Data,null,null,null,$462,https://www.zillow.com/community/silveroak-at-ironridge/2081149902_zpid/
,"$755,000+","Plan 2 Plan, Neo at Mission Foothills",Plan 2 Plan,NeoatMissionFoothills,null,null,3,3,"1,939",No Data,null,Townhouse,2021,No Data,"$180,195 monthly",null,null,$389,https://www.zillow.com/community/neo-at-mission-foothills/2076697043_zpid/
,"$972,990+","Residence 4 Plan, Parallel at Grace Park",Residence 4 Plan,ParallelatGracePark,null,null,3,3,"2,409",No Data,null,Townhouse,2021,No Data,null,null,null,$404,https://www.zillow.com/community/parallel-at-grace-park/2082405472_zpid/
,"$755,375+","Violet Plan 4 Plan, Violet at Canvas",Violet Plan 4 Plan,VioletatCanvas,null,null,3,3,"2,176",No Data,null,Townhouse,2021,No Data,$180 monthly,null,null,$347,https://www.zillow.com/community/violet-at-canvas/2075667212_zpid/
,"$339,000+","Plan 3 Plan, Sycamore Square",Plan 3 Plan,SycamoreSquare,null,null,4,3,"1,368",No Data,null,Townhouse,2021,"Garage - Detached, ",$199 monthly,null,null,$248,https://www.zillow.com/community/sycamore-square/2077043289_zpid/
,"$1,499,000+","Residence 7 Plan, Marengo Villa",Residence 7 Plan,MarengoVilla,null,null,3,4,"2,520",No Data,null,Townhouse,2021,"Garage - Attached, ",$420 monthly,null,null,$595,https://www.zillow.com/community/marengo-villa/2075382067_zpid/
,"$444,900+","Floor Plan 1 Plan, Sage at Ninth",Floor Plan 1 Plan,SageatNinth,null,null,2,3,"1,211",No Data,null,Townhouse,2021,"Garage - Attached, ",$280 monthly,null,null,$367,https://www.zillow.com/community/sage-at-ninth/2076854864_zpid/
,"$865,880+","RESIDENCE ONE Plan, Bridgeway : Towns",RESIDENCE ONE Plan,Bridgeway:Towns,null,null,2,3,"1,424",No Data,null,Townhouse,2021,No Data,null,"$931,570",null,$608,https://www.zillow.com/community/bridgeway-towns/2077139124_zpid/
,"$1,752,995+","Riland Plan, 370 Aleso",Riland Plan,370Aleso,null,null,3,3,"1,679",No Data,null,Townhouse,2021,No Data,null,"$1,865,674",null,"$1,044",https://www.zillow.com/community/370-aleso/2073101419_zpid/
,"$453,900+","Residence 3 Plan, The Landing at Wildflower Station",Residence 3 Plan,TheLandingatWildflowerStation,null,null,3,2,"1,149",No Data,null,Townhouse,2021,0 spaces,$290 monthly,null,null,$395,https://www.zillow.com/community/landing-at-wildflower-station/2076747623_zpid/
,"$993,880+","RESIDENCE ONE Plan, The Preserve : Hillcrest",RESIDENCE ONE Plan,ThePreserve:Hillcrest,null,null,3,4,"1,822",No Data,null,Townhouse,2021,No Data,null,null,null,$545,https://www.zillow.com/community/preserve-hillcrest/2077732614_zpid/
,"$699,990+","Residence 3 Plan, Santa Rosa - Round Barn",Residence 3 Plan,SantaRosa-RoundBarn,null,null,3,3,"1,884",No Data,null,Townhouse,2021,"Garage - Attached, ",$218 monthly,null,null,$372,https://www.zillow.com/community/santa-rosa-round-barn/2077795276_zpid/
