Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
JOSHUA TREE MODERN,"$199,900","1165 Mcgarry Rd, Joshua Tree, CA 92252",1165 Mcgarry Rd,JoshuaTree,CA,92252,1,1,192,"103,672 sqft",103672.0,SingleFamily,1959,No Data,null,"$214,260",$950/mo,"$1,041",https://www.zillow.com/homedetails/1165-Mcgarry-Rd-Joshua-Tree-CA-92252/299170914_zpid/
,"$335,000","408 Water St, Jackson, CA 95642",408 Water St,Jackson,CA,95642,2,2,"1,364","3,484 sqft",3484.0,SingleFamily,1900,"Carport, Garage - Detached, ",null,"$331,701","$1,905/mo",$246,https://www.zillow.com/homedetails/408-Water-St-Jackson-CA-95642/18202318_zpid/
,"$765,000","1551 Swallow Way, Hercules, CA 94547",1551 Swallow Way,Hercules,CA,94547,4,3,"1,905","6,000 sqft",6000.0,SingleFamily,1980,"Garage Door Opener, Attached, Off Street",null,"$808,115","$3,395/mo",$402,https://www.zillow.com/homedetails/1551-Swallow-Way-Hercules-CA-94547/18505158_zpid/
HOMESMART PROFESSIONALS,"$235,000","136 Acapulco Ln, Thermal, CA 92274",136 Acapulco Ln,Thermal,CA,92274,3,3,"2,300","20,642 sqft",20642.0,SingleFamily,1979,Other,null,"$225,003",null,$102,https://www.zillow.com/homedetails/136-Acapulco-Ln-Thermal-CA-92274/18847152_zpid/
,"$349,900","5240 Kent Dr, Bakersfield, CA 93306",5240 Kent Dr,Bakersfield,CA,93306,5,3,"3,014","17,424 sqft",17424.0,SingleFamily,1961,Carport,null,"$392,505","$2,100/mo",$116,https://www.zillow.com/homedetails/5240-Kent-Dr-Bakersfield-CA-93306/19024626_zpid/
COLDWELL BANKER HOME SOURCE,"$349,000","12695 Spring Valley Pkwy, Victorville, CA 92395",12695 Spring Valley Pkwy,Victorville,CA,92395,3,2,"1,596","7,405 sqft",7405.0,SingleFamily,1978,Garage - Attached,$284 monthly,"$349,001","$1,800/mo",$219,https://www.zillow.com/homedetails/12695-Spring-Valley-Pkwy-Victorville-CA-92395/17482754_zpid/
FIRST TEAM REAL ESTATE-HIGHDES,"$438,000","18343 Cocopah Ct, Apple Valley, CA 92307",18343 Cocopah Ct,AppleValley,CA,92307,3,2,"1,951","33,976 sqft",33976.0,SingleFamily,1979,Garage - Attached,null,"$365,051","$2,300/mo",$225,https://www.zillow.com/homedetails/18343-Cocopah-Ct-Apple-Valley-CA-92307/17479621_zpid/
,"$434,900","2337 Vaca Way, Merced, CA 95340",2337 Vaca Way,Merced,CA,95340,5,3,"2,504","5,309 sqft",5309.0,SingleFamily,2019,"Garage - Attached, ",$96 monthly,"$434,903",null,$174,https://www.zillow.com/homedetails/2337-Vaca-Way-Merced-CA-95340/97386827_zpid/
CENTURY 21 AWARD,"$368,000","33613 Bailey Meadow Rd, Palomar Mountain, CA 92060",33613 Bailey Meadow Rd,PalomarMountain,CA,92060,4,1,"1,686","10,079 sqft",10079.0,SingleFamily,1958,"Driveway, Other",null,"$368,001","$2,200/mo",$218,https://www.zillow.com/homedetails/33613-Bailey-Meadow-Rd-Palomar-Mountain-CA-92060/250073837_zpid/
GOLD REAL ESTATE,"$675,000","3140 Kips Korner Rd, Norco, CA 92860",3140 Kips Korner Rd,Norco,CA,92860,5,3,"2,052","17,424 sqft",17424.0,SingleFamily,1964,"Direct Access, Driveway, Garage - Two Door, RV Access/Parking",null,"$628,929","$2,617/mo",$329,https://www.zillow.com/homedetails/3140-Kips-Korner-Rd-Norco-CA-92860/17789892_zpid/
ERA NORTH ORANGE COUNTY,"$775,000","311 Pineridge St, Brea, CA 92821",311 Pineridge St,Brea,CA,92821,3,2,"1,651","21,248 sqft",21248.0,SingleFamily,1972,"Direct Access, Driveway, Garage, Garage Faces Front",null,"$821,969","$3,200/mo",$469,https://www.zillow.com/homedetails/311-Pineridge-St-Brea-CA-92821/25365062_zpid/
,"$269,000","2505 Butte St, Redding, CA 96001",2505 Butte St,Redding,CA,96001,3,1,"1,436","8,276 sqft",8276.0,SingleFamily,1948,"Garage - Detached, ",null,"$269,245","$1,525/mo",$187,https://www.zillow.com/homedetails/2505-Butte-St-Redding-CA-96001/15232792_zpid/
FIRST TEAM REAL ESTATE,"$369,950","16401 Chippewa Rd, Apple Valley, CA 92307",16401 Chippewa Rd,AppleValley,CA,92307,3,2,"1,723","15,899 sqft",15899.0,SingleFamily,1974,Garage - Attached,null,"$338,733","$1,750/mo",$215,https://www.zillow.com/homedetails/16401-Chippewa-Rd-Apple-Valley-CA-92307/17463224_zpid/
TWISS REALTY,"$495,000","5268 Standen Park Rd, Mariposa, CA 95338",5268 Standen Park Rd,Mariposa,CA,95338,3,3,"1,629","139,392 sqft",139392.0,SingleFamily,1977,Garage - Attached,null,"$498,694","$2,290/mo",$304,https://www.zillow.com/homedetails/5268-Standen-Park-Rd-Mariposa-CA-95338/19234243_zpid/
"EXP REALTY OF CALIFORNIA, INC.","$740,000","29690 Avenida Del Sol, Temecula, CA 92591",29690 Avenida Del Sol,Temecula,CA,92591,3,2,"2,157","21,344 sqft",21344.0,SingleFamily,1987,"Covered, Driveway, Concrete, Garage, Garage Faces Front, Garage - Two Door, Private",$239 quarterly,"$703,980","$3,523/mo",$343,https://www.zillow.com/homedetails/29690-Avenida-Del-Sol-Temecula-CA-92591/18168804_zpid/
,"$719,000","3627 Azell Rd, Carmichael, CA 95608",3627 Azell Rd,Carmichael,CA,95608,3,2,"1,670","54,450 sqft",54450.0,SingleFamily,1982,"Uncovered Parking Spaces 2+, Garage Faces Front, Garage Door Opener, RV Possible, Paved Driveway",null,"$601,517","$2,300/mo",$431,https://www.zillow.com/homedetails/3627-Azell-Rd-Carmichael-CA-95608/26072412_zpid/
