Listing_type,Price,Full_address,Street,City,State,Zip_code,Bed,Bath,Square_Feet,Lot,Lot_conversion_to_sqft,House_type,Year_build,Parking,HOA,Zestimate,Rent_zestimate,Zillow_price/sqft,House_website
,"$709,000+","Plan 2 Plan, Marquee",Plan 2 Plan,Marquee,null,null,2,3,"1,480",No Data,null,Townhouse,2021,No Data,null,null,null,$479,https://www.zillow.com/community/marquee/2073938788_zpid/
WINDERMERE HOMES & ESTATES,"$524,900","322 Mahogany Gln, Escondido, CA 92026",322 Mahogany Gln,Escondido,CA,92026,3,2,"1,645","3,049 sqft",3049.0,Townhouse,1987,Garage - Attached,$359 monthly,"$546,770","$2,800/mo",$319,https://www.zillow.com/homedetails/322-Mahogany-Gln-Escondido-CA-92026/16686268_zpid/
FLS & ASSOCIATES,"$575,000","9779 W Canyon Ter UNIT 2, San Diego, CA 92123",9779 W Canyon Ter UNIT 2,SanDiego,CA,92123,2,2,"1,169","86,684 sqft",86684.0,Townhouse,2000,Driveway,$195 monthly,"$593,548","$2,695/mo",$492,https://www.zillow.com/homedetails/9779-W-Canyon-Ter-UNIT-2-San-Diego-CA-92123/16933535_zpid/
ZIMKIN REALTY,"$349,000","268 Roanoke Rd, El Cajon, CA 92020",268 Roanoke Rd,ElCajon,CA,92020,2,2,"1,024","54,741 sqft",54741.0,Townhouse,1980,"Carport, Other",$360 monthly,"$259,212","$1,850/mo",$341,https://www.zillow.com/homedetails/268-Roanoke-Rd-El-Cajon-CA-92020/17026990_zpid/
VISTA SOTHEBY?S INTERNATIONAL REALTY,"$2,399,000","535 Monterey Blvd, Hermosa Beach, CA 90254",535 Monterey Blvd,HermosaBeach,CA,90254,3,4,"2,812","3,110 sqft",3110.0,Townhouse,1990,"Driveway Down Slope From Street, Garage Faces Front, Garage - Two Door",null,"$2,469,432","$8,050/mo",$853,https://www.zillow.com/homedetails/535-Monterey-Blvd-Hermosa-Beach-CA-90254/20428175_zpid/
,"$644,000+","Plan 2 Plan, Langston at Mountain House",Plan 2 Plan,LangstonatMountainHouse,null,null,3,3,"1,831",No Data,null,Townhouse,2021,No Data,null,null,null,$352,https://www.zillow.com/community/langston-at-mountain-house/2080665211_zpid/
,"$626,500+","Plan 1 Plan, Langston at Mountain House",Plan 1 Plan,LangstonatMountainHouse,null,null,3,3,"1,777",No Data,null,Townhouse,2021,No Data,null,null,null,$353,https://www.zillow.com/community/langston-at-mountain-house/2080665210_zpid/
,"$655,000+","Plan 3 Plan, Langston at Mountain House",Plan 3 Plan,LangstonatMountainHouse,null,null,4,3,"1,976",No Data,null,Townhouse,2021,No Data,null,null,null,$331,https://www.zillow.com/community/langston-at-mountain-house/2080665213_zpid/
,"$661,050+","Plan 4 Plan, Langston at Mountain House",Plan 4 Plan,LangstonatMountainHouse,null,null,4,3,"2,084",No Data,null,Townhouse,2021,No Data,null,null,null,$317,https://www.zillow.com/community/langston-at-mountain-house/2080665212_zpid/
,"$1,078,000","154 Tivoli Ln, Danville, CA 94506",154 Tivoli Ln,Danville,CA,94506,3,3,"1,939","2,377 sqft",2377.0,Townhouse,1994,"Garage Door Opener, Attached, Guest",$440 monthly,null,null,$556,https://www.zillow.com/homedetails/154-Tivoli-Ln-Danville-CA-94506/18434433_zpid/
"MISSION REALTY & FINANCE, INC.","$799,000","1800 Oak St UNIT 342, Torrance, CA 90501",1800 Oak St UNIT 342,Torrance,CA,90501,2,3,"1,490","38,184 sqft",38184.0,Townhouse,2007,"Direct Access, Permit Required",$260 monthly,"$802,655","$3,400/mo",$536,https://www.zillow.com/homedetails/1800-Oak-St-UNIT-342-Torrance-CA-90501/89146276_zpid/
,"$895,000","191 Redding Rd, Campbell, CA 95008",191 Redding Rd,Campbell,CA,95008,2,3,"1,267","1,276 sqft",1276.0,Townhouse,1986,"Garage - Attached, ",$391 monthly,"$949,242","$3,300/mo",$706,https://www.zillow.com/homedetails/191-Redding-Rd-Campbell-CA-95008/19673011_zpid/
,"$1,528,000","658 Draco Ln, Foster City, CA 94404",658 Draco Ln,FosterCity,CA,94404,4,3,"1,920","2,130 sqft",2130.0,Townhouse,1973,"Garage - Attached, ",$395 monthly,"$1,606,695","$4,600/mo",$796,https://www.zillow.com/homedetails/658-Draco-Ln-Foster-City-CA-94404/15613644_zpid/
KELLER WILLIAMS REALTY-STUDIO CITY,"$699,000","11853 Burbank Blvd UNIT 107, Valley Village, CA 91607",11853 Burbank Blvd UNIT 107,ValleyVillage,CA,91607,3,3,"1,953","14,039 sqft",14039.0,Townhouse,2008,Garage - Attached,$335 monthly,"$789,126","$3,495/mo",$358,https://www.zillow.com/homedetails/11853-Burbank-Blvd-UNIT-107-Valley-Village-CA-91607/89143524_zpid/
,"$1,598,000","670 San Antonio Rd APT 14, Palo Alto, CA 94306",670 San Antonio Rd APT 14,PaloAlto,CA,94306,3,3,"1,380","1,054 sqft",1054.0,Townhouse,1979,Garage - Attached,$460 monthly,"$1,687,062","$3,700/mo","$1,158",https://www.zillow.com/homedetails/670-San-Antonio-Rd-APT-14-Palo-Alto-CA-94306/19510199_zpid/
REFINED REALTY,"$970,000","6261 Surfboard Cir, Huntington Beach, CA 92648",6261 Surfboard Cir,HuntingtonBeach,CA,92648,3,3,"2,028","1,276 sqft",1276.0,Townhouse,1994,Garage - Attached,$395 monthly,"$1,148,042","$4,150/mo",$478,https://www.zillow.com/homedetails/6261-Surfboard-Cir-Huntington-Beach-CA-92648/25112242_zpid/
RODEO REALTY,"$739,000","5321 Natasha Ct, Agoura Hills, CA 91301",5321 Natasha Ct,AgouraHills,CA,91301,3,3,"1,942","3,402 sqft",3402.0,Townhouse,1989,"Direct Access, Driveway, Garage, Garage Faces Front",$411 monthly,"$761,393","$3,700/mo",$381,https://www.zillow.com/homedetails/5321-Natasha-Ct-Agoura-Hills-CA-91301/19886467_zpid/
,"$385,000","801 Nash Rd UNIT B7, Hollister, CA 95023",801 Nash Rd UNIT B7,Hollister,CA,95023,2,2,"1,086",435 sqft,435.0,Townhouse,1988,Garage - Attached,$360 monthly,"$397,833",null,$355,https://www.zillow.com/homedetails/801-Nash-Rd-UNIT-B7-Hollister-CA-95023/2071670550_zpid/
BERKSHIRE HATHAWAY H.S.C.P.,"$149,900","7918 Midhurst Dr, Highland, CA 92346",7918 Midhurst Dr,Highland,CA,92346,2,2,"1,168","1,385 sqft",1385.0,Townhouse,1971,"Carport, Attached Carport",$300 monthly,"$154,114","$1,600/mo",$128,https://www.zillow.com/homedetails/7918-Midhurst-Dr-Highland-CA-92346/17611362_zpid/
PARK REGENCY REALTY,"$439,900","15735 Nordhoff St UNIT 7, Los Angeles, CA 91343",15735 Nordhoff St UNIT 7,LosAngeles,CA,91343,2,2,"1,258","178,913 sqft",178913.0,Townhouse,1981,Garage,$400 monthly,"$454,296","$2,450/mo",$350,https://www.zillow.com/homedetails/15735-Nordhoff-St-UNIT-7-Los-Angeles-CA-91343/20142328_zpid/
,"$1,498,800","2214 Woodberry Ln, Mountain View, CA 94043",2214 Woodberry Ln,MountainView,CA,94043,3,3,"1,700","1,041 sqft",1041.0,Townhouse,2009,Garage - Attached,$300 monthly,"$1,563,886","$4,300/mo",$882,https://www.zillow.com/homedetails/2214-Woodberry-Ln-Mountain-View-CA-94043/94701353_zpid/
