City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,2 – 3 Beds,4 Beds,Studio,6 Beds,5 Beds,1 – 2 Beds,1 – 4 Beds
Irvine,Houses,CA,92618,"[{'bedroom_type': '5 Beds', 'price': '$6,75'}]","177 Fieldwood, Irvine, CA 92618",https://www.apartments.com/177-fieldwood-irvine-ca/rxwnb42/,5½ BAs,"4,186 Sq Ft","4,186",18 Month Lease,Available Now,,,,,,,,"$6,75",,
Rancho Santa Margarita,Houses,CA,92688,"[{'bedroom_type': '4 Beds', 'price': '$3,60'}]","18 San Nicholas, Rancho Santa Margarita, CA 92688",https://www.apartments.com/18-san-nicholas-rancho-santa-margarita-ca/ltesvld/,3 BAs,"2,260 Sq Ft","2,260",12 Month Lease,Available Now,,,,,"$3,60",,,,,
Los Angeles,Houses,CA,90026,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","1410 Mohawk St, Los Angeles, CA 90026",https://www.apartments.com/1410-mohawk-st-los-angeles-ca/eyqv5zn/,1 BA,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$4,00",,,,,,,
San Diego,Houses,CA,92115,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","4132 60th St, San Diego, CA 92115",https://www.apartments.com/4132-60th-st-san-diego-ca/drzycnj/,1 BA,804 Sq Ft,804,12 Month Lease,Available Now,"$2,39",,,,,,,,,
Sacramento,Houses,CA,95820,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","3725 56th St, Sacramento, CA 95820",https://www.apartments.com/3725-56th-st-sacramento-ca/czzelcg/,1 BA,"1,241 Sq Ft","1,241",12 Month Lease,Available Now,"$2,00",,,,,,,,,
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","1120 W 60th St, Los Angeles, CA 90044",https://www.apartments.com/1120-w-60th-st-los-angeles-ca/skp9d05/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,99",,,,,,,,,
Reseda,Houses,CA,91335,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","6511 Hesperia Ave, Reseda, CA 91335",https://www.apartments.com/6511-hesperia-ave-reseda-ca/r967k51/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,"$1,50",,,,,,,,
Spring Valley,Houses,CA,91977,"[{'bedroom_type': 'Studio', 'price': '$1,20'}]","3720 Bancroft Dr, Spring Valley, CA 91977",https://www.apartments.com/3720-bancroft-dr-spring-valley-ca/z10x3ly/,1 BA,208 Sq Ft,208,12 Month Lease,Available Now,,,,,,"$1,20",,,,
Mountain View,Houses,CA,94040,"[{'bedroom_type': '5 Beds', 'price': '$6,00'}]","2711 Doverton Sq, Mountain View, CA 94040",https://www.apartments.com/2711-doverton-sq-mountain-view-ca/ly7wh7d/,2½ BAs,"2,544 Sq Ft","2,544",12 Month Lease,Available Now,,,,,,,,"$6,00",,
Eastvale,Houses,CA,92880,"[{'bedroom_type': '4 Beds', 'price': '$2,50'}]","14036 Comfort Cove Ln, Eastvale, CA 92880",https://www.apartments.com/14036-comfort-cove-ln-eastvale-ca/3pqydge/,2 BAs,"3,600 Sq Ft","3,600",12 Month Lease,Available Now,,,,,"$2,50",,,,,
San Diego,Houses,CA,92116,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","4434 Cherokee Ave, San Diego, CA 92116",https://www.apartments.com/4434-cherokee-ave-san-diego-ca/6nqlqxt/,2 BAs,"1,248 Sq Ft","1,248",12 Month Lease,Available Now,,,"$3,50",,,,,,,
Long Beach,Houses,CA,90803,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","172 Park Ave, Long Beach, CA 90803",https://www.apartments.com/172-park-ave-long-beach-ca/tjczyc9/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$4,00",,,,,,,,,
San Jose,Houses,CA,95125,"[{'bedroom_type': '3 Beds', 'price': '$3,39'}]","1001 Spencer Ave, San Jose, CA 95125",https://www.apartments.com/1001-spencer-ave-san-jose-ca/2kyxtx9/,1 BA,"1,120 Sq Ft","1,120",12 Month Lease,Available Now,,,"$3,39",,,,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","1309 S Hudson Ave, Los Angeles, CA 90019",https://www.apartments.com/1309-s-hudson-ave-los-angeles-ca/qmq965y/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,"$4,10",,,,,,,
San Jose,Houses,CA,95125,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","1376 Vernon Ave, San Jose, CA 95125",https://www.apartments.com/1376-vernon-ave-san-jose-ca/mepg1tj/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,60",,,,,,,,,
Sunnyvale,Houses,CA,94087,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","572 La Conner Dr, Sunnyvale, CA 94087",https://www.apartments.com/572-la-conner-dr-sunnyvale-ca/4l93wel/,2½ BAs,"2,788 Sq Ft","2,788",12 Month Lease,Available Now,,,"$3,80",,,,,,,
San Jose,Houses,CA,95110,"[{'bedroom_type': '2 Beds', 'price': '$4,50'}]","487 N San Pedro St, San Jose, CA 95110",https://www.apartments.com/487-n-san-pedro-st-san-jose-ca/k1w1sec/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$4,50",,,,,,,,,
San Jose,Houses,CA,95112,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","480 N 19th St, San Jose, CA 95112",https://www.apartments.com/480-n-19th-st-san-jose-ca/5y89lzn/,2 BAs,"1,549 Sq Ft","1,549",12 Month Lease,Available Now,,,"$3,50",,,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '5 Beds', 'price': '$14,90'}]","453 31st St, Manhattan Beach, CA 90266",https://www.apartments.com/453-31st-st-manhattan-beach-ca/p5jhzrr/,6 BAs,"4,300 Sq Ft","4,300",12 Month Lease,Available Now,,,,,,,,"$14,90",,
Los Angeles,Houses,CA,90031,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","2410 Gatewood St, Los Angeles, CA 90031",https://www.apartments.com/2410-gatewood-st-los-angeles-ca/vbwxtsf/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,25",,,,,,,,,
Visalia,Houses,CA,93292,"[{'bedroom_type': '3 Beds', 'price': '$2,00'}]","3432 E College Ave, Visalia, CA 93292",https://www.apartments.com/3432-e-college-ave-visalia-ca/kg6wx08/,2 BAs,"1,590 Sq Ft","1,590",12 Month Lease,Available Now,,,"$2,00",,,,,,,
Tehachapi,Houses,CA,93561,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","20733 Oak Knoll Dr, Tehachapi, CA 93561",https://www.apartments.com/20733-oak-knoll-dr-tehachapi-ca/z8r0plx/,2½ BAs,"3,100 Sq Ft","3,100",12 Month Lease,Apr 1,,,"$3,00",,,,,,,
Poway,Houses,CA,92064,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","13876 Midland Rd, Poway, CA 92064",https://www.apartments.com/13876-midland-rd-poway-ca/8f9z3q2/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,00",,,,,,,
San Jose,Houses,CA,95124,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","1811 Chevalier Dr, San Jose, CA 95124",https://www.apartments.com/1811-chevalier-dr-san-jose-ca/6dnd85v/,2 BAs,"1,468 Sq Ft","1,468",12 Month Lease,Available Now,,,"$3,00",,,,,,,
San Juan Capistrano,Houses,CA,92675,"[{'bedroom_type': '4 Beds', 'price': '$3,79'}]","28052 Paseo Hacienda, San Juan Capistrano, CA 92675",https://www.apartments.com/28052-paseo-hacienda-san-juan-capistrano-ca/gbmnt3y/,2½ BAs,"2,204 Sq Ft","2,204",12 Month Lease,Available Now,,,,,"$3,79",,,,,
North Hills,Houses,CA,91343,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","15801 Community St, North Hills, CA 91343",https://www.apartments.com/15801-community-st-north-hills-ca/71jbbxx/,3 BAs,"1,950 Sq Ft","1,950",12 Month Lease,Available Now,,,"$5,00",,,,,,,
San Diego,Houses,CA,92139,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","6426 Garber Ave, San Diego, CA 92139",https://www.apartments.com/6426-garber-ave-san-diego-ca/nfmgmfm/,2 BAs,"2,145 Sq Ft","2,145",12 Month Lease,Available Now,,,"$3,00",,,,,,,
Pleasant Hill,Houses,CA,94523,"[{'bedroom_type': '1 – 4 Beds', 'price': '$2,200'}]","1678 Pleasant Hill Rd, Pleasant Hill, CA 94523",https://www.apartments.com/1678-pleasant-hill-rd-pleasant-hill-ca/lfq5z6g/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,,,,,,,"$2,200"
Torrance,Houses,CA,90501,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","649 Border Ave, Torrance, CA 90501",https://www.apartments.com/649-border-ave-torrance-ca/l4x3ekf/,1 BA,680 Sq Ft,680,12 Month Lease,Available Now,"$2,20",,,,,,,,,
Campbell,Houses,CA,95008,"[{'bedroom_type': '2 Beds', 'price': '$4,85'}]","1071 Shamrock Dr, Campbell, CA 95008",https://www.apartments.com/1071-shamrock-dr-campbell-ca/7h50rpx/,1 BA,"1,000 Sq Ft","1,000",3 Month Lease,Jan 11,"$4,85",,,,,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$2,80'}]","2200 Pacific Ave, Manhattan Beach, CA 90266",https://www.apartments.com/2200-pacific-ave-manhattan-beach-ca/1h9v9k5/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,"$2,80",,,,,,,,
Valley Village,Houses,CA,91607,"[{'bedroom_type': '2 Beds', 'price': '$2,75'}]","5121 Morella Ave, Valley Village, CA 91607",https://www.apartments.com/5121-morella-ave-valley-village-ca/8v8g471/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$2,75",,,,,,,,,
Sunnyvale,Houses,CA,94089,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","1099 Bradford Dr, Sunnyvale, CA 94089",https://www.apartments.com/1099-bradford-dr-sunnyvale-ca/ddmbx6k/,1 BA,970 Sq Ft,970,3 Month Lease,Available Now,,,"$3,30",,,,,,,
Gardena,Houses,CA,90249,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","15711 Spinning Ave, Gardena, CA 90249",https://www.apartments.com/15711-spinning-ave-gardena-ca/ehk0e2p/,2 BAs,"1,660 Sq Ft","1,660",12 Month Lease,Available Now,,,"$3,30",,,,,,,
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","12118 Ramona Ave, Hawthorne, CA 90250",https://www.apartments.com/12118-ramona-ave-hawthorne-ca/pkwge4v/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,65",,,,,,,
Rodeo,Houses,CA,94572,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","301 Lake Ave, Rodeo, CA 94572",https://www.apartments.com/301-lake-ave-rodeo-ca/8s04t03/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,40",,,,,,,
Monterey,Houses,CA,93940,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","999 Jefferson St, Monterey, CA 93940",https://www.apartments.com/999-jefferson-st-monterey-ca/rmmwl40/,1½ BAs,"2,200 Sq Ft","2,200",12 Month Lease,Available Now,,,"$3,50",,,,,,,
Oakland,Houses,CA,94619,"[{'bedroom_type': '2 Beds', 'price': '$3,15'}]","3258 Madera Ave, Oakland, CA 94619",https://www.apartments.com/3258-madera-ave-oakland-ca/60rx45t/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,15",,,,,,,,,
Monrovia,Houses,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","525 W El Norte Ave, Monrovia, CA 91016",https://www.apartments.com/525-w-el-norte-ave-monrovia-ca/nme62xp/,2 BAs,850 Sq Ft,850,12 Month Lease,Available Now,"$2,30",,,,,,,,,
Pasadena,Houses,CA,91104,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","535 Prescott St, Pasadena, CA 91104",https://www.apartments.com/535-prescott-st-pasadena-ca/ett6dvn/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,"$3,30",,,,,,,
San Jose,Houses,CA,95136,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","256 Truckee Ln, San Jose, CA 95136",https://www.apartments.com/256-truckee-ln-san-jose-ca/cdfrknf/,2 BAs,"1,175 Sq Ft","1,175",12 Month Lease,Available Now,,,"$3,30",,,,,,,
Van Nuys,Houses,CA,91401,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","14319 Burbank Blvd, Van Nuys, CA 91401",https://www.apartments.com/14319-burbank-blvd-van-nuys-ca/8w1r4c2/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,,"$1,90",,,,,,,,
Van Nuys,Houses,CA,91401,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","5614 Stansbury Ave, Van Nuys, CA 91401",https://www.apartments.com/5614-stansbury-ave-van-nuys-ca/clrs08f/,2 BAs,900 Sq Ft,900,12 Month Lease,Available Now,"$3,00",,,,,,,,,
Sacramento,Houses,CA,95833,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","3379 Swallows Nest Ln, Sacramento, CA 95833",https://www.apartments.com/3379-swallows-nest-ln-sacramento-ca/l83vk3f/,2½ BAs,"2,293 Sq Ft","2,293",12 Month Lease,Available Now,,,"$3,80",,,,,,,
Culver City,Houses,CA,90230,"[{'bedroom_type': '1 Bed', 'price': '$1,10'}]","11828 Beatrice St, Culver City, CA 90230",https://www.apartments.com/11828-beatrice-st-culver-city-ca/vxrytfe/,1 BA,152 Sq Ft,152,12 Month Lease,Available Now,,"$1,10",,,,,,,,
Temple City,Houses,CA,91780,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","8862 Longden Ave, Temple City, CA 91780",https://www.apartments.com/8862-longden-ave-temple-city-ca/gqvz4ww/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$2,45",,,,,,,,,
Fresno,Houses,CA,93722,"[{'bedroom_type': '3 Beds', 'price': '$1,85'}]","5214 W Cromwell Ave, Fresno, CA 93722",https://www.apartments.com/5214-w-cromwell-ave-fresno-ca/4f5ke4l/,2½ BAs,"1,596 Sq Ft","1,596",12 Month Lease,Available Now,,,"$1,85",,,,,,,
Altadena,Houses,CA,91001,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","2841 N Olive Ave, Altadena, CA 91001",https://www.apartments.com/2841-n-olive-ave-altadena-ca/5xk2p8m/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,70",,,,,,,,,
Canyon Lake,Houses,CA,92587,"[{'bedroom_type': '5 Beds', 'price': '$6,99'}]","29642 Vacation Dr, Canyon Lake, CA 92587",https://www.apartments.com/29642-vacation-dr-canyon-lake-ca/1ezbsm5/,3 BAs,"2,400 Sq Ft","2,400",,Available Now,,,,,,,,"$6,99",,
Sunland,Houses,CA,91040,"[{'bedroom_type': '4 Beds', 'price': '$3,40'}]","10718 Nassau Ave, Sunland, CA 91040",https://www.apartments.com/10718-nassau-ave-sunland-ca/cwsx2sg/,2½ BAs,"2,006 Sq Ft","2,006",12 Month Lease,Available Now,,,,,"$3,40",,,,,
Van Nuys,Houses,CA,91411,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","15015 Sylvan St, Van Nuys, CA 91411",https://www.apartments.com/15015-sylvan-st-van-nuys-ca/rq8s8r2/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$1,90",,,,,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","1123 S Rimpau Blvd, Los Angeles, CA 90019",https://www.apartments.com/1123-s-rimpau-blvd-los-angeles-ca/632v3br/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,"$3,50",,,,,,,
Oakland,Houses,CA,94603,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","9408 Oscar Ave, Oakland, CA 94603",https://www.apartments.com/9408-oscar-ave-oakland-ca/04t1dn1/,1 BA,720 Sq Ft,720,12 Month Lease,Available Now,"$2,30",,,,,,,,,
