City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,3 Beds,2 – 3 Beds,4 Beds,Studio,6 Beds,5 Beds,1 – 2 Beds,1 – 4 Beds
Lake Forest,Houses,CA,92630,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","26042 Majorca, Lake Forest, CA 92630",https://www.apartments.com/26042-majorca-lake-forest-ca/z4f82xz/,1 BA,675 Sq Ft,675,12 Month Lease,Available Now,,"$1,59",,,,,,,,
Oakland,Houses,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","1465 9th St, Oakland, CA 94607",https://www.apartments.com/1465-9th-st-oakland-ca/n86cz7n/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,40",,,,,,,,,
Riverside,Houses,CA,92504,"[{'bedroom_type': '3 Beds', 'price': '$2,20'}]","5905 Glenhurst St, Riverside, CA 92504",https://www.apartments.com/5905-glenhurst-st-riverside-ca/b6np6sc/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,20",,,,,,,
San Diego,Houses,CA,92104,"[{'bedroom_type': '1 Bed', 'price': '$2,14'}]","4162 Mississippi St, San Diego, CA 92104",https://www.apartments.com/4162-mississippi-st-san-diego-ca/3z93q0g/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$2,14",,,,,,,,
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","17043 Strawberry Dr, Los Angeles, CA 91436",https://www.apartments.com/17043-strawberry-dr-los-angeles-ca/qp2rhzz/,1 BA,250 Sq Ft,250,6 Month Lease,Available Now,,"$1,20",,,,,,,,
Los Angeles,Houses,CA,90037,"[{'bedroom_type': '3 Beds', 'price': '$2,30'}]","718 W 47th St, Los Angeles, CA 90037",https://www.apartments.com/718-w-47th-st-los-angeles-ca/e7lsvbm/,2 BAs,"1,050 Sq Ft","1,050",18 Month Lease,Available Now,,,"$2,30",,,,,,,
Tehachapi,Houses,CA,93561,"[{'bedroom_type': '3 Beds', 'price': '$1,90'}]","23171 Woodford-Tehachapi Rd, Tehachapi, CA 93561",https://www.apartments.com/23171-woodford-tehachapi-rd-tehachapi-ca/xjpj5jp/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Feb 1,,,"$1,90",,,,,,,
Truckee,Houses,CA,96161,"[{'bedroom_type': '4 Beds', 'price': '$9,50'}]","13770 Pathway Ave, Truckee, CA 96161",https://www.apartments.com/13770-pathway-ave-truckee-ca/sbknns6/,3½ BAs,"3,489 Sq Ft","3,489",12 Month Lease,Available Now,,,,,"$9,50",,,,,
Los Angeles,Houses,CA,90033,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","2025 Sheridan St, Los Angeles, CA 90033",https://www.apartments.com/2025-sheridan-st-los-angeles-ca/f3ncs1v/,1 BA,720 Sq Ft,720,12 Month Lease,Available Now,"$2,49",,,,,,,,,
Los Angeles,Houses,CA,90019,"[{'bedroom_type': '1 Bed', 'price': '$2,75'}]","1324 S Cloverdale Ave, Los Angeles, CA 90019",https://www.apartments.com/1324-s-cloverdale-ave-los-angeles-ca/k2xybdb/,1 BA,900 Sq Ft,900,1 Month Lease,Available Now,,"$2,75",,,,,,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '3 Beds', 'price': '$3,35'}]","1115 Pleasant View Ave, Los Angeles, CA 90065",https://www.apartments.com/1115-pleasant-view-ave-los-angeles-ca/l3bsnlf/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,,"$3,35",,,,,,,
Whittier,Houses,CA,90606,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","7315 Ridgeview Ln, Whittier, CA 90606",https://www.apartments.com/7315-ridgeview-ln-whittier-ca/lwenl3d/,2 BAs,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,,"$3,00",,,,,,,
Novato,Houses,CA,94947,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","10 Jan Way, Novato, CA 94947",https://www.apartments.com/10-jan-way-novato-ca/p61tv5v/,2½ BAs,"1,891 Sq Ft","1,891",12 Month Lease,Available Now,,,"$4,10",,,,,,,
Los Angeles,Houses,CA,91605,"[{'bedroom_type': '4 Beds', 'price': '$3,80'}]","7744 Mary Ellen Ave, Los Angeles, CA 91605",https://www.apartments.com/7744-mary-ellen-ave-los-angeles-ca/jqbkxc4/,2 BAs,"1,700 Sq Ft","1,700",6 Month Lease,Available Now,,,,,"$3,80",,,,,
Oakland,Houses,CA,94607,"[{'bedroom_type': 'Studio', 'price': '$1,40'}]","861 22nd St, Oakland, CA 94607",https://www.apartments.com/861-22nd-st-oakland-ca/8wlre90/,1 BA,236 Sq Ft,236,12 Month Lease,Available Now,,,,,,"$1,40",,,,
Richmond,Houses,CA,94803,"[{'bedroom_type': '6 Beds', 'price': '$3,60'}]","5145 Heavenly Ridge Ln, Richmond, CA 94803",https://www.apartments.com/5145-heavenly-ridge-ln-richmond-ca/3kn8r0e/,3 BAs,"2,930 Sq Ft","2,930",12 Month Lease,Feb 1,,,,,,,"$3,60",,,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$2,95'}]","2343 S Dunsmuir Ave, Los Angeles, CA 90016",https://www.apartments.com/2343-s-dunsmuir-ave-los-angeles-ca/y5qnzlv/,1½ BAs,"1,251 Sq Ft","1,251",12 Month Lease,Available Now,,,"$2,95",,,,,,,
Encino,Houses,CA,91316,"[{'bedroom_type': '3 Beds', 'price': '$4,65'}]","5953 Jellico Ave, Encino, CA 91316",https://www.apartments.com/5953-jellico-ave-encino-ca/w2tg6hl/,2 BAs,"1,345 Sq Ft","1,345",12 Month Lease,Jan 8,,,"$4,65",,,,,,,
Desert Hot Springs,Houses,CA,92240,"[{'bedroom_type': '4 Beds', 'price': '$1,49'}]","9653 Vista Del Valle, Desert Hot Springs, CA 92240",https://www.apartments.com/9653-vista-del-valle-desert-hot-springs-ca/cj8skkg/,1½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,,,,,"$1,49",,,,,
Lawndale,Houses,CA,90260,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","4161 W 159th St, Lawndale, CA 90260",https://www.apartments.com/4161-w-159th-st-lawndale-ca/6prw6rv/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,30",,,,,,,,,
Palm Springs,Houses,CA,92262,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","2481 Verna Ct, Palm Springs, CA 92262",https://www.apartments.com/2481-verna-ct-palm-springs-ca/xg6fqlm/,2½ BAs,"2,178 Sq Ft","2,178",12 Month Lease,Available Now,,,"$4,50",,,,,,,
San Francisco,Houses,CA,94131,"[{'bedroom_type': '3 Beds', 'price': '$6,30'}]","615 27th St, San Francisco, CA 94131",https://www.apartments.com/615-27th-st-san-francisco-ca/wphx8fk/,2 BAs,"2,012 Sq Ft","2,012",12 Month Lease,Available Now,,,"$6,30",,,,,,,
Alamo,Houses,CA,94507,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","2410 Lunada Ln, Alamo, CA 94507",https://www.apartments.com/2410-lunada-ln-alamo-ca/e40l3mm/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$3,40",,,,,,,,,
Fremont,Houses,CA,94536,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","38203 Parkmont Dr, Fremont, CA 94536",https://www.apartments.com/38203-parkmont-dr-fremont-ca/mdz616l/,2 BAs,"1,273 Sq Ft","1,273",12 Month Lease,Jan 10,,,"$3,20",,,,,,,
Los Angeles,Houses,CA,91304,"[{'bedroom_type': '4 Beds', 'price': '$4,90'}]","7801 McLaren Ave, Los Angeles, CA 91304",https://www.apartments.com/7801-mclaren-ave-los-angeles-ca/5wexk5q/,2 BAs,"1,760 Sq Ft","1,760",12 Month Lease,Available Now,,,,,"$4,90",,,,,
San Francisco,Houses,CA,94134,"[{'bedroom_type': '3 Beds', 'price': '$4,30'}]","295 Oxford St, San Francisco, CA 94134",https://www.apartments.com/295-oxford-st-san-francisco-ca/4d5h7gh/,2 BAs,"1,440 Sq Ft","1,440",1 Month Lease,Available Now,,,"$4,30",,,,,,,
San Francisco,Houses,CA,94134,"[{'bedroom_type': '2 Beds', 'price': '$3,80'}]","295 Oxford St, San Francisco, CA 94134",https://www.apartments.com/295-oxford-st-san-francisco-ca/smkkv97/,1 BA,"1,270 Sq Ft","1,270",1 Month Lease,Available Now,"$3,80",,,,,,,,,
Los Gatos,Houses,CA,95032,"[{'bedroom_type': '2 Beds', 'price': '$3,25'}]","14915 Shannon Rd, Los Gatos, CA 95032",https://www.apartments.com/14915-shannon-rd-los-gatos-ca/t29xjbc/,1 BA,"1,180 Sq Ft","1,180",12 Month Lease,Available Now,"$3,25",,,,,,,,,
Oakland,Houses,CA,94619,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","4463 Masterson St, Oakland, CA 94619",https://www.apartments.com/4463-masterson-st-oakland-ca/53pdkzm/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$1,79",,,,,,,,
Los Angeles,Houses,CA,90004,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","339 Hobart N Blvd, Los Angeles, CA 90004",https://www.apartments.com/339-hobart-n-blvd-los-angeles-ca/lz8s4fd/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,"$1,65",,,,,,,,
Canoga Park,Houses,CA,91303,"[{'bedroom_type': '4 Beds', 'price': '$3,15'}]","21047 Covello St, Canoga Park, CA 91303",https://www.apartments.com/21047-covello-st-canoga-park-ca/5e6hwdp/,2 BAs,"1,611 Sq Ft","1,611",12 Month Lease,Available Now,,,,,"$3,15",,,,,
San Diego,Houses,CA,92116,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","4718 Biona Dr, San Diego, CA 92116",https://www.apartments.com/4718-biona-dr-san-diego-ca/hdxm703/,1 BA,580 Sq Ft,580,12 Month Lease,Available Now,,"$1,99",,,,,,,,
Burbank,Houses,CA,91506,"[{'bedroom_type': '1 Bed', 'price': '$99'}]","633 N Orchard Dr, Burbank, CA 91506",https://www.apartments.com/633-n-orchard-dr-burbank-ca/07hrsn1/,1½ BAs,200 Sq Ft,200,1 Month Lease,Available Now,,$99,,,,,,,,
Simi Valley,Houses,CA,93065,"[{'bedroom_type': '3 Beds', 'price': '$2,39'}]","3091 Gardner St, Simi Valley, CA 93065",https://www.apartments.com/3091-gardner-st-simi-valley-ca/0kw9qk1/,1 BA,"1,040 Sq Ft","1,040",12 Month Lease,Jan 15,,,"$2,39",,,,,,,
Inglewood,Houses,CA,90303,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","10947 S Van Ness Ave, Inglewood, CA 90303",https://www.apartments.com/10947-s-van-ness-ave-inglewood-ca/dfy9j3k/,2 BAs,"1,201 Sq Ft","1,201",12 Month Lease,Available Now,,,"$3,00",,,,,,,
Vallejo,Houses,CA,94590,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","200 Florida St, Vallejo, CA 94590",https://www.apartments.com/200-florida-st-vallejo-ca/xn24kfn/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,60",,,,,,,,
Mountain View,Houses,CA,94041,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","637 Tami Way, Mountain View, CA 94041",https://www.apartments.com/637-tami-way-mountain-view-ca/3klfcmd/,2½ BAs,"2,088 Sq Ft","2,088",12 Month Lease,Available Now,,,"$4,75",,,,,,,
Culver City,Houses,CA,90230,"[{'bedroom_type': '4 Beds', 'price': '$4,49'}]","11234 Hannum Ave, Culver City, CA 90230",https://www.apartments.com/11234-hannum-ave-culver-city-ca/93djep5/,3 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,,,"$4,49",,,,,
Los Angeles,Houses,CA,91316,"[{'bedroom_type': '4 Beds', 'price': '$5,59'}]","5152 Balboa Blvd, Los Angeles, CA 91316",https://www.apartments.com/5152-balboa-blvd-los-angeles-ca/j5vchx4/,3 BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,,,,"$5,59",,,,,
Northridge,Houses,CA,91325,"[{'bedroom_type': '2 Beds', 'price': '$2,89'}]","17461 Keswick St, Northridge, CA 91325",https://www.apartments.com/17461-keswick-st-northridge-ca/px03g8r/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$2,89",,,,,,,,,
Los Angeles,Houses,CA,91325,"[{'bedroom_type': '1 Bed', 'price': '$2,29'}]","17461 Keswick St, Los Angeles, CA 91325",https://www.apartments.com/17461-keswick-st-los-angeles-ca/nsjn8mq/,1 BA,620 Sq Ft,620,12 Month Lease,Available Now,,"$2,29",,,,,,,,
Thousand Oaks,Houses,CA,91320,"[{'bedroom_type': '5 Beds', 'price': '$5,00'}]","1925 Brush Oak Ct, Thousand Oaks, CA 91320",https://www.apartments.com/1925-brush-oak-ct-thousand-oaks-ca/jv9wvs5/,3 BAs,"2,805 Sq Ft","2,805",12 Month Lease,Available Now,,,,,,,,"$5,00",,
Santa Clara,Houses,CA,95054,"[{'bedroom_type': '4 Beds', 'price': '$4,40'}]","2308 Gianera St, Santa Clara, CA 95054",https://www.apartments.com/2308-gianera-st-santa-clara-ca/xbl6htm/,2½ BAs,"1,950 Sq Ft","1,950",12 Month Lease,Jan 2,,,,,"$4,40",,,,,
San Diego,Houses,CA,92107,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","2085 Abbott St, San Diego, CA 92107",https://www.apartments.com/2085-abbott-st-san-diego-ca/98lfkh5/,1 BA,400 Sq Ft,400,12 Month Lease,Feb 1,,"$2,40",,,,,,,,
Palo Alto,Houses,CA,94306,"[{'bedroom_type': '3 Beds', 'price': '$8,50'}]","393 MacLane St, Palo Alto, CA 94306",https://www.apartments.com/393-maclane-st-palo-alto-ca/vhv028e/,2½ BAs,"1,985 Sq Ft","1,985",6 Month Lease,Jan 3,,,"$8,50",,,,,,,
South Pasadena,Houses,CA,91030,"[{'bedroom_type': '1 Bed', 'price': '$2,29'}]","1940 Mill Rd, South Pasadena, CA 91030",https://www.apartments.com/1940-mill-rd-south-pasadena-ca/0w415v0/,1 BA,650 Sq Ft,650,18 Month Lease,Available Now,,"$2,29",,,,,,,,
San Jose,Houses,CA,95125,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","880 Franquette Ave, San Jose, CA 95125",https://www.apartments.com/880-franquette-ave-san-jose-ca/547yeyp/,2 BAs,"1,044 Sq Ft","1,044",12 Month Lease,Available Now,"$3,50",,,,,,,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '3 Beds', 'price': '$2,99'}]","10800 Otsego St, North Hollywood, CA 91601",https://www.apartments.com/10800-otsego-st-north-hollywood-ca/ymd4kxs/,1 BA,"1,157 Sq Ft","1,157",12 Month Lease,Available Now,,,"$2,99",,,,,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '3 Beds', 'price': '$3,79'}]","10936 Otsego St, North Hollywood, CA 91601",https://www.apartments.com/10936-otsego-st-north-hollywood-ca/mckt7cl/,2 BAs,"1,585 Sq Ft","1,585",12 Month Lease,Available Now,,,"$3,79",,,,,,,
Beverly Hills,Houses,CA,90211,"[{'bedroom_type': '2 Beds', 'price': '$5,20'}]","155 N Carson Rd, Beverly Hills, CA 90211",https://www.apartments.com/155-n-carson-rd-beverly-hills-ca/qzcm0ty/,2 BAs,"1,229 Sq Ft","1,229",12 Month Lease,Available Now,"$5,20",,,,,,,,,
Beverly Hills,Houses,CA,90212,"[{'bedroom_type': 'Studio', 'price': '$2,20'}]","200 S Palm Dr, Beverly Hills, CA 90212",https://www.apartments.com/200-s-palm-dr-beverly-hills-ca/flb14bt/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,,,,,,"$2,20",,,,
Davis,Houses,CA,95616,"[{'bedroom_type': '4 Beds', 'price': '$2,60'}]","721 Anderson Rd, Davis, CA 95616",https://www.apartments.com/721-anderson-rd-davis-ca/xttpztq/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,,"$2,60",,,,,
Seal Beach,Houses,CA,90740,"[{'bedroom_type': '3 Beds', 'price': '$4,80'}]","424 Jade Cove Way, Seal Beach, CA 90740",https://www.apartments.com/424-jade-cove-way-seal-beach-ca/zcq847x/,3 BAs,"2,400 Sq Ft","2,400",12 Month Lease,Available Now,,,"$4,80",,,,,,,
Cathedral City,Houses,CA,92234,"[{'bedroom_type': '3 Beds', 'price': '$1,95'}]","37585 Cathedral Canyon Dr, Cathedral City, CA 92234",https://www.apartments.com/37585-cathedral-canyon-dr-cathedral-city-ca/3zc7pme/,2 BAs,"1,850 Sq Ft","1,850",12 Month Lease,Available Now,,,"$1,95",,,,,,,
Glendale,Houses,CA,91203,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","410 W Lexington Dr, Glendale, CA 91203",https://www.apartments.com/410-w-lexington-dr-glendale-ca/sk1lj56/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,,"$3,20",,,,,,,
Half Moon Bay,Houses,CA,94019,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","603 Spruce St, Half Moon Bay, CA 94019",https://www.apartments.com/603-spruce-st-half-moon-bay-ca/pe8dbtt/,2½ BAs,"2,200 Sq Ft","2,200",6 Month Lease,Jan 2,,,"$5,00",,,,,,,
Los Angeles,Houses,CA,90063,"[{'bedroom_type': '3 Beds', 'price': '$2,650'}]","731 N Bonnie Beach Pl, Los Angeles, CA 90063",https://www.apartments.com/731-n-bonnie-beach-pl-los-angeles-ca/pjzdt8s/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,650",,,,,,,
San Francisco,Houses,CA,94124,"[{'bedroom_type': '1 Bed', 'price': '$850'}]","820 Le Conte Ave, San Francisco, CA 94124",https://www.apartments.com/820-le-conte-ave-san-francisco-ca/hgz4fd1/,0½ BAs,150 Sq Ft,150,1 Month Lease,Available Now,,$850,,,,,,,,
Van Nuys,Houses,CA,91405,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","14764 Lemay St, Van Nuys, CA 91405",https://www.apartments.com/14764-lemay-st-van-nuys-ca/lb2wr1e/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$2,50",,,,,,,,,
West Hollywood,Houses,CA,90048,"[{'bedroom_type': '3 Beds', 'price': '$27,00'}]","6620 W 5th St, West Hollywood, CA 90048",https://www.apartments.com/6620-w-5th-st-west-hollywood-ca/zsmf1zy/,3½ BAs,"4,000 Sq Ft","4,000",12 Month Lease,Available Now,,,"$27,00",,,,,,,
West Hills,Houses,CA,91307,"[{'bedroom_type': 'Studio', 'price': '$1,80'}]","23744 Hartland St, West Hills, CA 91307",https://www.apartments.com/23744-hartland-st-west-hills-ca/4w8wc1k/,1 BA,444 Sq Ft,444,12 Month Lease,Available Now,,,,,,"$1,80",,,,
Los Angeles,Houses,CA,90039,"[{'bedroom_type': '2 Beds', 'price': '$3,90'}]","2625 Silver Ridge Ave, Los Angeles, CA 90039",https://www.apartments.com/2625-silver-ridge-ave-los-angeles-ca/4rxdqlh/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$3,90",,,,,,,,,
Bell Canyon,Houses,CA,91307,"[{'bedroom_type': '5 Beds', 'price': '$25,00'}]","109 Buckskin Rd, Bell Canyon, CA 91307",https://www.apartments.com/109-buckskin-rd-bell-canyon-ca/mgzx58h/,5½ BAs,"6,800 Sq Ft","6,800",12 Month Lease,Available Now,,,,,,,,"$25,00",,
Los Angeles,Houses,CA,91406,"[{'bedroom_type': '1 Bed', 'price': '$1,45'}]","7471 Encino Ave, Los Angeles, CA 91406",https://www.apartments.com/7471-encino-ave-los-angeles-ca/1nqlzs7/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,,"$1,45",,,,,,,,
La Crescenta-Montrose,Houses,CA,91020,"[{'bedroom_type': '2 Beds', 'price': '$2,28'}]","2215 Waltonia Dr, La Crescenta-Montrose, CA 91020",https://www.apartments.com/2215-waltonia-dr-la-crescenta-montrose-ca/j9szxk7/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$2,28",,,,,,,,,
Vista,Houses,CA,92081,"[{'bedroom_type': '4 Beds', 'price': '$3,80'}]","1446 Portofino Dr, Vista, CA 92081",https://www.apartments.com/1446-portofino-dr-vista-ca/h4wx190/,2½ BAs,"2,250 Sq Ft","2,250",12 Month Lease,Jan 15,,,,,"$3,80",,,,,
Berkeley,Houses,CA,94704,"[{'bedroom_type': '6 Beds', 'price': '$11,99'}]","2606 Fulton St, Berkeley, CA 94704",https://www.apartments.com/2606-fulton-st-berkeley-ca/l9p42bg/,4½ BAs,"3,200 Sq Ft","3,200",10 Month Lease,Available Now,,,,,,,"$11,99",,,
Richmond,Houses,CA,94801,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","687 7th St, Richmond, CA 94801",https://www.apartments.com/687-7th-st-richmond-ca/07ryez1/,1 BA,"1,300 Sq Ft","1,300",6 Month Lease,Available Now,,,"$3,00",,,,,,,
Inglewood,Houses,CA,90304,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","10826 Mansel Ave, Inglewood, CA 90304",https://www.apartments.com/10826-mansel-ave-inglewood-ca/twz78rb/,2 BAs,"1,190 Sq Ft","1,190",12 Month Lease,Available Now,,,"$3,00",,,,,,,
North Hollywood,Houses,CA,91601,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","11307 Califa St, North Hollywood, CA 91601",https://www.apartments.com/11307-califa-st-north-hollywood-ca/4b1msbh/,1 BA,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,"$2,49",,,,,,,,,
Palo Alto,Houses,CA,94306,"[{'bedroom_type': 'Studio', 'price': '$1,90'}]","841 La Jennifer Way, Palo Alto, CA 94306",https://www.apartments.com/841-la-jennifer-way-palo-alto-ca/6sqmp9t/,1 BA,250 Sq Ft,250,12 Month Lease,Available Now,,,,,,"$1,90",,,,
Temple City,Houses,CA,91780,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","8807 Hermosa Dr, Temple City, CA 91780",https://www.apartments.com/8807-hermosa-dr-temple-city-ca/7zspmjy/,2 BAs,"1,324 Sq Ft","1,324",12 Month Lease,Available Now,,,"$2,80",,,,,,,
La Verne,Houses,CA,91750,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","1873 2nd St, La Verne, CA 91750",https://www.apartments.com/1873-2nd-st-la-verne-ca/b2lphj8/,2 BAs,"1,180 Sq Ft","1,180",12 Month Lease,Available Now,,,"$2,60",,,,,,,
Mountain House,Houses,CA,95391,"[{'bedroom_type': '4 Beds', 'price': '$3,00'}]","90 N Sierra Madre St, Mountain House, CA 95391",https://www.apartments.com/90-n-sierra-madre-st-mountain-house-ca/v922kcd/,2½ BAs,"2,781 Sq Ft","2,781",12 Month Lease,Feb 1,,,,,"$3,00",,,,,
San Diego,Houses,CA,92116,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","4411 41st St, San Diego, CA 92116",https://www.apartments.com/4411-41st-st-san-diego-ca/geqdl3x/,1 BA,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$3,00",,,,,,,
Los Angeles,Houses,CA,90023,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","1067 S Herbert Ave, Los Angeles, CA 90023",https://www.apartments.com/1067-s-herbert-ave-los-angeles-ca/v4v2xre/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$1,85",,,,,,,,,
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","7053 S La Cienega Blvd, Los Angeles, CA 90045",https://www.apartments.com/7053-s-la-cienega-blvd-los-angeles-ca/d1fhcsj/,1 BA,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,"$2,60",,,,,,,,,
Healdsburg,Houses,CA,95448,"[{'bedroom_type': 'Studio', 'price': '$2,40'}]","3575 W Dry Creek Rd, Healdsburg, CA 95448",https://www.apartments.com/3575-w-dry-creek-rd-healdsburg-ca/8yh7ng1/,1 BA,550 Sq Ft,550,6 Month Lease,Available Now,,,,,,"$2,40",,,,
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","628 W 99th St, Los Angeles, CA 90044",https://www.apartments.com/628-w-99th-st-los-angeles-ca/1llmn87/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,70",,,,,,,
Duarte,Houses,CA,91010,"[{'bedroom_type': '4 Beds', 'price': '$3,50'}]","2427 Kellogg Ct, Duarte, CA 91010",https://www.apartments.com/2427-kellogg-ct-duarte-ca/ml576mk/,2 BAs,"1,958 Sq Ft","1,958",12 Month Lease,Available Now,,,,,"$3,50",,,,,
East Palo Alto,Houses,CA,94303,"[{'bedroom_type': '5 Beds', 'price': '$5,50'}]","952 Newbridge St, East Palo Alto, CA 94303",https://www.apartments.com/952-newbridge-st-east-palo-alto-ca/jl3g5e7/,2 BAs,"2,010 Sq Ft","2,010",12 Month Lease,Available Now,,,,,,,,"$5,50",,
Fresno,Houses,CA,93704,"[{'bedroom_type': '3 Beds', 'price': '$1,55'}]","957 E Clinton Ave, Fresno, CA 93704",https://www.apartments.com/957-e-clinton-ave-fresno-ca/j4rn9b5/,2 BAs,"1,684 Sq Ft","1,684",12 Month Lease,Available Now,,,"$1,55",,,,,,,
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '3 Beds', 'price': '$3,80'}]","2320 W 116th St, Hawthorne, CA 90250",https://www.apartments.com/2320-w-116th-st-hawthorne-ca/k420xzb/,3 BAs,"2,250 Sq Ft","2,250",12 Month Lease,Available Now,,,"$3,80",,,,,,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","5111 Onacrest Dr, Los Angeles, CA 90043",https://www.apartments.com/5111-onacrest-dr-los-angeles-ca/yyggctt/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,70",,,,,,,,,
Cerritos,Houses,CA,90703,"[{'bedroom_type': '4 Beds', 'price': '$3,10'}]","11115 Brigantine St, Cerritos, CA 90703",https://www.apartments.com/11115-brigantine-st-cerritos-ca/k0n0sk9/,2½ BAs,"1,907 Sq Ft","1,907",12 Month Lease,Feb 1,,,,,"$3,10",,,,,
Malibu,Houses,CA,90265,"[{'bedroom_type': '3 Beds', 'price': '$18,00'}]","18970 Pacific Coast Hwy, Malibu, CA 90265",https://www.apartments.com/18970-pacific-coast-hwy-malibu-ca/zdmj57x/,3½ BAs,"2,700 Sq Ft","2,700",12 Month Lease,Jan 5,,,"$18,00",,,,,,,
Tarzana,Houses,CA,91356,"[{'bedroom_type': '4 Beds', 'price': '$6,00'}]","4921 Matula Dr, Tarzana, CA 91356",https://www.apartments.com/4921-matula-dr-tarzana-ca/pvqvcns/,4½ BAs,"3,343 Sq Ft","3,343",12 Month Lease,Available Now,,,,,"$6,00",,,,,
Oakland,Houses,CA,94618,"[{'bedroom_type': '4 Beds', 'price': '$6,00'}]","5234 Redondo Ave, Oakland, CA 94618",https://www.apartments.com/5234-redondo-ave-oakland-ca/llvztrg/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,,,,"$6,00",,,,,
El Cajon,Houses,CA,92021,"[{'bedroom_type': '4 Beds', 'price': '$2,95'}]","8676 Cordial Rd, El Cajon, CA 92021",https://www.apartments.com/8676-cordial-rd-el-cajon-ca/mhy7j6l/,2 BAs,"1,781 Sq Ft","1,781",12 Month Lease,Available Now,,,,,"$2,95",,,,,
