City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,2 Beds,3 Beds
6233 S La Brea Ln,Townhomes,Los Angeles,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,522'}, {'bedroom_type': '2 Beds', 'price': '$1,855'}]","6233 S La Brea Ln, Los Angeles, CA 90056",https://www.apartments.com/ladera-townhouse-los-angeles-ca/5ep4zrq/,1 BA,615 Sq Ft,615,,Available Now,"$1,522","$1,855",
17621 W Pauline Ct,Townhomes,Santa Clarita,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,120'}, {'bedroom_type': '3 Beds', 'price': '$2,551'}]","17621 W Pauline Ct, Santa Clarita, CA 91387",https://www.apartments.com/colony-townhomes-santa-clarita-ca/t19x7x9/,2½ BAs,"1,154 Sq Ft","1,154",,Available Now,,"$2,120","$2,551"
6115 Brookside Cir,Townhomes,Rocklin,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,850'}, {'bedroom_type': '3 Beds', 'price': ''}]","6115 Brookside Cir, Rocklin, CA 95677",https://www.apartments.com/woodstream-townhomes-rocklin-ca/en0js5q/,1 BA,845 Sq Ft,845,,Feb 1,,"$1,850",
1625 W Pacific Coast Hwy,Townhomes,Wilmington,CA,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$2,626'}, {'bedroom_type': '3 Beds', 'price': '$3,035'}]","1625 W Pacific Coast Hwy, Wilmington, CA 90744",https://www.apartments.com/portofino-townhomes-wilmington-ca/96znhk7/,1½ BAs,"1,152 Sq Ft","1,152",,Available Now,,"$2,626","$3,035"
7901-7921 Harmarsh St,Townhomes,San Diego,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,816'}, {'bedroom_type': '3 Beds', 'price': '$2,433'}]","7901-7921 Harmarsh St, San Diego, CA 92123",https://www.apartments.com/the-modern-apartments-san-diego-ca/0yehrj1/,1½ BAs,950 Sq Ft,950,,Available Now,,"$1,816","$2,433"
9200 Monte Vista Ave,Townhomes,Montclair,CA,"[{'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': '$2,923'}]","9200 Monte Vista Ave, Montclair, CA 91763",https://www.apartments.com/lexington-townhomes-montclair-ca/26nlcsc/,1½ BAs,"1,216 Sq Ft","1,216",,Jan 2,,,"$2,923"
