City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,1 Bed,5 Beds,2 Beds,Studio,6 Beds,Studio – 5 Beds,2 – 3 Beds,Studio – 3 Beds
Los Angeles,Houses,CA,90045,"[{'bedroom_type': '5 Beds', 'price': '$7,00'}]","7339 W 91st St, Los Angeles, CA 90045",https://www.apartments.com/7339-w-91st-st-los-angeles-ca/g3kw2nw/,3 BAs,"2,400 Sq Ft","2,400",12 Month Lease,Available Now,,,,"$7,00",,,,,,
San Mateo,Houses,CA,94402,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","1504 Jasmine St, San Mateo, CA 94402",https://www.apartments.com/1504-jasmine-st-san-mateo-ca/kq3xbec/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,,"$3,10",,,,,
Torrance,Houses,CA,90503,"[{'bedroom_type': '3 Beds', 'price': '$3,59'}]","21914 Ocean Ave, Torrance, CA 90503",https://www.apartments.com/21914-ocean-ave-torrance-ca/t0djxs9/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,"$3,59",,,,,,,,,
Hermosa Beach,Houses,CA,90254,"[{'bedroom_type': '1 Bed', 'price': '$1,30'}]","218 28th St, Hermosa Beach, CA 90254",https://www.apartments.com/218-28th-st-hermosa-beach-ca/fgm0f5v/,1 BA,350 Sq Ft,350,,Available Now,,,"$1,30",,,,,,,
Inglewood,Houses,CA,90301,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","429 W Spruce Ave, Inglewood, CA 90301",https://www.apartments.com/429-w-spruce-ave-inglewood-ca/s4r83c4/,1½ BAs,800 Sq Ft,800,12 Month Lease,Available Now,,,,,"$2,50",,,,,
Daly City,Houses,CA,94014,"[{'bedroom_type': '4 Beds', 'price': '$5,40'}]","103 Alta Vista Way, Daly City, CA 94014",https://www.apartments.com/103-alta-vista-way-daly-city-ca/3g4fgwg/,4 BAs,"2,450 Sq Ft","2,450",6 Month Lease,Available Now,,"$5,40",,,,,,,,
La Puente,Houses,CA,91744,"[{'bedroom_type': '3 Beds', 'price': '$2,53'}]","15944 Doublegrove St, La Puente, CA 91744",https://www.apartments.com/15944-doublegrove-st-la-puente-ca/61f72mr/,1½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$2,53",,,,,,,,,
Daly City,Houses,CA,94015,"[{'bedroom_type': '3 Beds', 'price': '$3,99'}]","268 Dennis Dr, Daly City, CA 94015",https://www.apartments.com/268-dennis-dr-daly-city-ca/0rdjjq3/,1½ BAs,"1,280 Sq Ft","1,280",12 Month Lease,Feb 1,"$3,99",,,,,,,,,
Canoga Park,Houses,CA,91303,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","7447 Milwood Ave, Canoga Park, CA 91303",https://www.apartments.com/7447-milwood-ave-canoga-park-ca/0wwjnq0/,2½ BAs,"1,350 Sq Ft","1,350",1 Month Lease,Available Now,"$2,65",,,,,,,,,
Los Angeles,Houses,CA,90023,"[{'bedroom_type': '2 Beds', 'price': '$1,85'}]","3928 Princeton St, Los Angeles, CA 90023",https://www.apartments.com/3928-princeton-st-los-angeles-ca/74b9ssx/,1 BA,682 Sq Ft,682,12 Month Lease,Feb 1,,,,,"$1,85",,,,,
Northridge,Houses,CA,91324,"[{'bedroom_type': '5 Beds', 'price': '$16,95'}]","19212 Stare St, Northridge, CA 91324",https://www.apartments.com/19212-stare-st-northridge-ca/lzrjwtd/,5½ BAs,"5,436 Sq Ft","5,436",12 Month Lease,Available Now,,,,"$16,95",,,,,,
Long Beach,Houses,CA,90804,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","1069 Termino Ave, Long Beach, CA 90804",https://www.apartments.com/1069-termino-ave-long-beach-ca/zj7fynw/,1 BA,800 Sq Ft,800,,Available Now,,,"$1,79",,,,,,,
Temple City,Houses,CA,91780,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","5711 Rio Hondo Ave, Temple City, CA 91780",https://www.apartments.com/5711-rio-hondo-ave-temple-city-ca/w74xx4j/,1 BA,"1,190 Sq Ft","1,190",12 Month Lease,Jan 16,,,,,"$2,60",,,,,
Fairfield,Houses,CA,94534,"[{'bedroom_type': '4 Beds', 'price': '$3,00'}]","3212 Bear Creek Dr, Fairfield, CA 94534",https://www.apartments.com/3212-bear-creek-dr-fairfield-ca/fle6ftr/,3 BAs,"2,492 Sq Ft","2,492",12 Month Lease,Available Now,,"$3,00",,,,,,,,
Pasadena,Houses,CA,91107,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","3572 E Green St, Pasadena, CA 91107",https://www.apartments.com/3572-e-green-st-pasadena-ca/b8jvyg9/,1½ BAs,"1,750 Sq Ft","1,750",12 Month Lease,Available Now,,,,,"$3,60",,,,,
Los Angeles,Houses,CA,91604,"[{'bedroom_type': '1 Bed', 'price': '$3,59'}]","4323 Laurelgrove Ave, Los Angeles, CA 91604",https://www.apartments.com/4323-laurelgrove-ave-los-angeles-ca/3097syf/,1 BA,700 Sq Ft,700,,Available Now,,,"$3,59",,,,,,,
Los Angeles,Houses,CA,90044,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","1109 W 102nd St, Los Angeles, CA 90044",https://www.apartments.com/1109-w-102nd-st-los-angeles-ca/jhnn1j7/,1 BA,900 Sq Ft,900,12 Month Lease,Jan 15,,,,,"$1,90",,,,,
