City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,4 Beds,1 Bed,5 Beds,2 Beds,Studio,6 Beds,Studio – 5 Beds,2 – 3 Beds,Studio – 3 Beds
West Hills,Houses,CA,91307,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","24349 Vanowen St, West Hills, CA 91307",https://www.apartments.com/24349-vanowen-st-west-hills-ca/gsd5lsx/,2 BAs,"1,743 Sq Ft","1,743",12 Month Lease,Available Now,"$3,50",,,,,,,,,
Paradise,Houses,CA,95969,"[{'bedroom_type': '4 Beds', 'price': '$2,30'}]","1495 Mayhew Ln, Paradise, CA 95969",https://www.apartments.com/1495-mayhew-ln-paradise-ca/v633x5d/,2 BAs,"1,350 Sq Ft","1,350",1 Month Lease,Available Now,,"$2,30",,,,,,,,
Sacramento,Houses,CA,95821,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","3829 Lasuen Dr, Sacramento, CA 95821",https://www.apartments.com/3829-lasuen-dr-sacramento-ca/nv21nfq/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Feb 1,"$2,40",,,,,,,,,
Pasadena,Houses,CA,91101,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","465 S Los Robles Ave, Pasadena, CA 91101",https://www.apartments.com/465-s-los-robles-ave-pasadena-ca/jnnjsx4/,2 BAs,858 Sq Ft,858,12 Month Lease,Available Now,,,,,"$2,39",,,,,
Campbell,Houses,CA,95008,"[{'bedroom_type': '3 Beds', 'price': '$3,55'}]","230 Morrene Dr, Campbell, CA 95008",https://www.apartments.com/230-morrene-dr-campbell-ca/lyslbme/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,"$3,55",,,,,,,,,
Lemoore,Houses,CA,93245,"[{'bedroom_type': '3 Beds', 'price': '$2,00'}]","150 Lake Dr, Lemoore, CA 93245",https://www.apartments.com/150-lake-dr-lemoore-ca/s3k12b6/,2½ BAs,"1,939 Sq Ft","1,939",12 Month Lease,Jan 15,"$2,00",,,,,,,,,
Palm Desert,Houses,CA,92260,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","73531 Red Cir, Palm Desert, CA 92260",https://www.apartments.com/73531-red-cir-palm-desert-ca/b5t5dd9/,2 BAs,"1,500 Sq Ft","1,500",1 Month Lease,Available Now,,,,,"$2,20",,,,,
Woodland Hills,Houses,CA,91367,"[{'bedroom_type': '4 Beds', 'price': '$3,25'}]","6436 Lubao Ave, Woodland Hills, CA 91367",https://www.apartments.com/6436-lubao-ave-woodland-hills-ca/6vjrd1r/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Jan 15,,"$3,25",,,,,,,,
Santa Ana,Houses,CA,92705,"[{'bedroom_type': '5 Beds', 'price': '$6,50'}]","1532 Bluff Pl, Santa Ana, CA 92705",https://www.apartments.com/1532-bluff-pl-santa-ana-ca/ncj9z4q/,4½ BAs,"4,200 Sq Ft","4,200",12 Month Lease,Feb 1,,,,"$6,50",,,,,,
Los Angeles,Houses,CA,91326,"[{'bedroom_type': '4 Beds', 'price': '$5,70'}]","20752 Trieste Ln, Los Angeles, CA 91326",https://www.apartments.com/20752-trieste-ln-los-angeles-ca/g8dyxzw/,3 BAs,"3,195 Sq Ft","3,195",12 Month Lease,Available Now,,"$5,70",,,,,,,,
Riverside,Houses,CA,92506,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","6152 Hawarden Dr, Riverside, CA 92506",https://www.apartments.com/6152-hawarden-dr-riverside-ca/ff8pg6v/,2 BAs,"1,600 Sq Ft","1,600",6 Month Lease,Available Now,,,,,"$3,00",,,,,
La Crescenta,Houses,CA,91214,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","3107 Altura Ave, La Crescenta, CA 91214",https://www.apartments.com/3107-altura-ave-la-crescenta-ca/4fjstfj/,2 BAs,910 Sq Ft,910,11 Month Lease,Available Now,,,,,"$3,10",,,,,
Lomita,Houses,CA,90717,"[{'bedroom_type': '1 Bed', 'price': '$1,87'}]","25103 Feijoa Ave, Lomita, CA 90717",https://www.apartments.com/25103-feijoa-ave-lomita-ca/3de4x9f/,1 BA,625 Sq Ft,625,12 Month Lease,Jan 2,,,"$1,87",,,,,,,
Los Angeles,Houses,CA,90002,"[{'bedroom_type': '3 Beds', 'price': '$1,99'}]","1801 E 106th St, Los Angeles, CA 90002",https://www.apartments.com/1801-e-106th-st-los-angeles-ca/2rrx11c/,1 BA,750 Sq Ft,750,6 Month Lease,Available Now,"$1,99",,,,,,,,,
Sacramento,Houses,CA,95835,"[{'bedroom_type': '3 Beds', 'price': '$2,25'}]","4 Sego Ct, Sacramento, CA 95835",https://www.apartments.com/4-sego-ct-sacramento-ca/q1yl1ew/,2 BAs,"1,557 Sq Ft","1,557",12 Month Lease,Jan 24,"$2,25",,,,,,,,,
San Luis Obispo,Houses,CA,93401,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","3812 Sequoia Dr, San Luis Obispo, CA 93401",https://www.apartments.com/3812-sequoia-dr-san-luis-obispo-ca/nf7eqrm/,1½ BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,,,"$2,85",,,,,
Gustine,Houses,CA,95322,"[{'bedroom_type': '3 Beds', 'price': '$1,80'}]","565 Elm Ave, Gustine, CA 95322",https://www.apartments.com/565-elm-ave-gustine-ca/9y2dzh7/,1½ BAs,"1,650 Sq Ft","1,650",12 Month Lease,Available Now,"$1,80",,,,,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$35,00'}]","4216 The Strand, Manhattan Beach, CA 90266",https://www.apartments.com/4216-the-strand-manhattan-beach-ca/vpc56yg/,5 BAs,"3,800 Sq Ft","3,800",11 Month Lease,Available Now,"$35,00",,,,,,,,,
Redondo Beach,Houses,CA,90278,"[{'bedroom_type': '1 Bed', 'price': '$2,75'}]","2720 Carnegie Ln, Redondo Beach, CA 90278",https://www.apartments.com/2720-carnegie-ln-redondo-beach-ca/24hbcgb/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,"$2,75",,,,,,,
Pasadena,Houses,CA,91101,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","328 Pleasant St, Pasadena, CA 91101",https://www.apartments.com/328-pleasant-st-pasadena-ca/9sd2fb5/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,,,"$2,35",,,,,
Los Angeles,Houses,CA,91325,"[{'bedroom_type': '3 Beds', 'price': '$4,75'}]","17544 Lorne St, Los Angeles, CA 91325",https://www.apartments.com/17544-lorne-st-los-angeles-ca/nxxxgqn/,3 BAs,"1,650 Sq Ft","1,650",12 Month Lease,Available Now,"$4,75",,,,,,,,,
Buena Park,Houses,CA,90621,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","5931 Stanton Ave, Buena Park, CA 90621",https://www.apartments.com/5931-stanton-ave-buena-park-ca/khh9qtc/,2 BAs,"1,568 Sq Ft","1,568",12 Month Lease,Available Now,"$3,00",,,,,,,,,
