City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 – 2 Beds,2 Beds,Studio,1 Bed,3 Beds,1 – 3 Beds,2 – 3 Beds,Studio – 3 Beds
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '1 Bed', 'price': '$3,96'}]","Los Angeles, CA 90012",https://www.apartments.com/225-s-grand-ave-los-angeles-ca/dgyyffh/,1 BA,855 Sq Ft,855,,Available Now,,,,"$3,96",,,,
San Francisco,Condos,CA,94103,"[{'bedroom_type': '2 Beds', 'price': '$5,30'}]","8 10th St, San Francisco, CA 94103",https://www.apartments.com/nema-sf-north-tower-8-10th-st-1707-san-francisco-ca/hexb780/,2 BAs,"1,376 Sq Ft","1,376",,Feb 8,,"$5,30",,,,,,
San Francisco,Condos,CA,94108,"[{'bedroom_type': '1 Bed', 'price': '$3,71'}]","San Francisco, CA 94108",https://www.apartments.com/899-pine-st-san-francisco-ca/6mfmv2v/,1 BA,675 Sq Ft,675,,Available Now,,,,"$3,71",,,,
San Francisco,Condos,CA,94103,"[{'bedroom_type': '1 Bed', 'price': '$3,84'}]","San Francisco, CA 94103",https://www.apartments.com/1222-harrison-st-san-francisco-ca/8eqhbg0/,1 BA,741 Sq Ft,741,,Available Now,,,,"$3,84",,,,
San Francisco,Condos,CA,94107,"[{'bedroom_type': '1 Bed', 'price': '$2,74'}]","1 St Francis Pl, San Francisco, CA 94107",https://www.apartments.com/soma-square-1-saint-francis-pl-6122-san-francisco-ca/jmx0z64/,1 BA,564 Sq Ft,564,,Jan 13,,,,"$2,74",,,,
San Francisco,Condos,CA,94158,"[{'bedroom_type': 'Studio', 'price': '$3,45'}]","355 Berry St, San Francisco, CA 94158",https://www.apartments.com/edgewater-355-berry-st-323-san-francisco-ca/gmb1mwx/,1 BA,500 Sq Ft,500,,Jan 18,,,"$3,45",,,,,
San Francisco,Condos,CA,94158,"[{'bedroom_type': '1 Bed', 'price': '$2,83'}]","690 Long Bridge Street, San Francisco, CA 94158",https://www.apartments.com/azure-690-long-bridge-st-313-san-francisco-ca/5szc13p/,1 BA,720 Sq Ft,720,,Jan 3,,,,"$2,83",,,,
Fresno,Condos,CA,93711,"[{'bedroom_type': '2 Beds', 'price': '$1,50'}]","Fresno, CA 93711",https://www.apartments.com/1538-w-herndon-ave-fresno-ca/cfeswsd/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$1,50",,,,,,
Venice,Condos,CA,90291,"[{'bedroom_type': '1 – 2 Beds', 'price': '$2,250'}]","Venice, CA 90291",https://www.apartments.com/119-paloma-ave-venice-ca/sss6g74/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,250",,,,,,,
Los Angeles,Condos,CA,91606,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","Los Angeles, CA 91606",https://www.apartments.com/6728-beck-ave-los-angeles-ca/3sw606e/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$1,50",,,,
Santa Monica,Condos,CA,90405,"[{'bedroom_type': '3 Beds', 'price': '$2,950'}]","Santa Monica, CA 90405",https://www.apartments.com/2315-14th-st-santa-monica-ca/1s2jns6/,2 BAs,"1,214 Sq Ft","1,214",12 Month Lease,Available Now,,,,,"$2,950",,,
