City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,3 Beds,2 Beds,4 Beds,1 Bed,Studio,5 Beds
Los Angeles,Townhomes,CA,90008,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","3003 W 43rd Pl, Los Angeles, CA 90008",https://www.apartments.com/3003-w-43rd-pl-los-angeles-ca/kbztmp8/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$1,90",,,,
Van Nuys,Townhomes,CA,91411,"[{'bedroom_type': '3 Beds', 'price': '$3,45'}]","14759 Friar St, Van Nuys, CA 91411",https://www.apartments.com/14759-friar-st-van-nuys-ca/7d870ky/,3½ BAs,"1,450 Sq Ft","1,450",12 Month Lease,Available Now,"$3,45",,,,,
Los Angeles,Townhomes,CA,91356,"[{'bedroom_type': '2 Beds', 'price': '$4,50'}]","5642 Corbin Ave, Los Angeles, CA 91356",https://www.apartments.com/5642-corbin-ave-los-angeles-ca/r1j8mc2/,2 BAs,850 Sq Ft,850,1 Month Lease,Available Now,,"$4,50",,,,
Downey,Townhomes,CA,90241,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","11717 Lakewood Blvd, Downey, CA 90241",https://www.apartments.com/11717-lakewood-blvd-downey-ca/ktw800c/,1½ BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,00",,,,
Hayward,Townhomes,CA,94541,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","691 Atherton Pl, Hayward, CA 94541",https://www.apartments.com/691-atherton-pl-hayward-ca/c6cxm5d/,2½ BAs,"1,050 Sq Ft","1,050",12 Month Lease,Available Now,,"$2,95",,,,
Pacifica,Townhomes,CA,94044,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","225 Moana Pl, Pacifica, CA 94044",https://www.apartments.com/225-moana-pl-pacifica-ca/tjm2028/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$2,99",,,,
Los Angeles,Townhomes,CA,90048,"[{'bedroom_type': '3 Beds', 'price': '$7,00'}]","8406 Blackburn Ave, Los Angeles, CA 90048",https://www.apartments.com/8406-blackburn-ave-los-angeles-ca/53eyrym/,3½ BAs,"1,688 Sq Ft","1,688",12 Month Lease,Available Now,"$7,00",,,,,
Campbell,Townhomes,CA,95008,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","515 W Rincon Ave, Campbell, CA 95008",https://www.apartments.com/515-w-rincon-ave-campbell-ca/151xt45/,2½ BAs,"1,302 Sq Ft","1,302",12 Month Lease,Available Now,"$3,50",,,,,
Sunnyvale,Townhomes,CA,94085,"[{'bedroom_type': '3 Beds', 'price': '$4,12'}]","382 Santa Elena Ter, Sunnyvale, CA 94085",https://www.apartments.com/382-santa-elena-ter-sunnyvale-ca/eb14g5q/,3 BAs,"1,447 Sq Ft","1,447",12 Month Lease,Available Now,"$4,12",,,,,
Poway,Townhomes,CA,92064,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","17818 Villamoura Dr, Poway, CA 92064",https://www.apartments.com/17818-villamoura-dr-poway-ca/22vq01c/,2½ BAs,"1,657 Sq Ft","1,657",12 Month Lease,Available Now,,"$2,50",,,,
