Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,4+ Beds,"
													Studio
															–
2 Beds											","
													1 Bed
															–
2 Beds											","
													2 Beds
															–
3 Beds											","
													2 Beds
											"
THEA at Metropolis,Los Angeles,Apartment,CA,90017,"[{'bedroom_type': 'Studio', 'price': '$1,885'}, {'bedroom_type': '1 Bed', 'price': '$2,939'}, {'bedroom_type': '2 Beds', 'price': '$4,470'}, {'bedroom_type': '3 Beds', 'price': '$7,410'}]","1000 W 8th St, Los Angeles, CA 90017",https://www.apartments.com/thea-at-metropolis-los-angeles-ca/77hmelw/,"$1,885","$2,939","$4,470","$7,410",,,,,,
LINQ,San Jose,Apartment,CA,95133,"[{'bedroom_type': 'Studio', 'price': '$1,926'}, {'bedroom_type': '1 Bed', 'price': '$2,399'}, {'bedroom_type': '2 Beds', 'price': '$2,800'}]","1700 Newbury Park Dr, San Jose, CA 95133",https://www.apartments.com/linq-san-jose-ca/d325jkj/,"$1,926","$2,399","$2,800",,,,,,,
Elan Menlo Park,Menlo Park,Apartment,CA,94025,"[{'bedroom_type': '1 Bed', 'price': '$2,682'}, {'bedroom_type': '2 Beds', 'price': '$3,068'}, {'bedroom_type': '3 Beds', 'price': '$4,721'}]","3645 Haven Ave, Menlo Park, CA 94025",https://www.apartments.com/elan-menlo-park-menlo-park-ca/9yntwg4/,,"$2,682","$3,068","$4,721",,,,,,
Villas at North Village,Vacaville,Apartment,CA,95688,"[{'bedroom_type': '1 Bed', 'price': '$2,046'}, {'bedroom_type': '2 Beds', 'price': '$2,153'}]","300 Crescent Dr, Vacaville, CA 95688",https://www.apartments.com/villas-at-north-village-vacaville-ca/71kfdqz/,,"$2,046","$2,153",,,,,,,
Fusion,Irvine,Apartment,CA,92614,"[{'bedroom_type': 'Studio', 'price': '$1,997'}, {'bedroom_type': '1 Bed', 'price': '$2,020'}, {'bedroom_type': '2 Beds', 'price': '$2,737'}]","17321 Murphy Ave, Irvine, CA 92614",https://www.apartments.com/fusion-irvine-ca/bklsw28/,"$1,997","$2,020","$2,737",,,,,,,
Block C Apartments,San Marcos,Apartment,CA,92078,"[{'bedroom_type': 'Studio', 'price': '$1,814'}, {'bedroom_type': '1 Bed', 'price': '$2,126'}, {'bedroom_type': '2 Beds', 'price': '$2,313'}, {'bedroom_type': '3 Beds', 'price': '$2,967'}]","250 North City Dr, San Marcos, CA 92078",https://www.apartments.com/block-c-apartments-san-marcos-ca/s0qcbm4/,"$1,814","$2,126","$2,313","$2,967",,,,,,
Villas Fashion Island,Newport Beach,Apartment,CA,92660,"[{'bedroom_type': '1 Bed', 'price': '$3,485'}, {'bedroom_type': '2 Beds', 'price': '$4,700'}, {'bedroom_type': '3 Beds', 'price': '$4,930'}]","1000 San Joaquin Plz, Newport Beach, CA 92660",https://www.apartments.com/villas-fashion-island-newport-beach-ca/ppeym6r/,,"$3,485","$4,700","$4,930",,,,,,
Contessa @ Otay Ranch,Chula Vista,Apartment,CA,91913,"[{'bedroom_type': '2 Beds', 'price': '$2,280'}, {'bedroom_type': '3 Beds', 'price': '$2,850'}, {'bedroom_type': '4 Beds', 'price': '$3,210'}]","1924 E Palomar St, Chula Vista, CA 91913",https://www.apartments.com/contessa-otay-ranch-chula-vista-ca/kwdn4l9/,,,"$2,280","$2,850","$3,210",,,,,
NVE APARTMENTS,North Hollywood,Apartment,CA,91601,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\tStudio\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","11405 Chandler Blvd, North Hollywood, CA 91601",https://www.apartments.com/nve-apartments-north-hollywood-ca/83n5pv2/,,,,,,,,,,
Valentia Apartment Homes,La Habra,Apartment,CA,90631,"[{'bedroom_type': '1 Bed', 'price': '$2,192'}, {'bedroom_type': '2 Beds', 'price': '$2,918'}, {'bedroom_type': '3 Beds', 'price': ''}]","951 S Beach Blvd, La Habra, CA 90631",https://www.apartments.com/valentia-apartment-homes-la-habra-ca/gc4c0mz/,,"$2,192","$2,918",,,,,,,
Monticello Apartment Homes,Santa Clara,Apartment,CA,95051,"[{'bedroom_type': 'Studio', 'price': '$2,660'}, {'bedroom_type': '1 Bed', 'price': '$2,365'}, {'bedroom_type': '2 Beds', 'price': '$3,055'}]","3555 Monroe St, Santa Clara, CA 95051",https://www.apartments.com/monticello-apartment-homes-santa-clara-ca/svq6gr4/,"$2,660","$2,365","$3,055",,,,,,,
Canyon Ridge at Napa Junction,American Canyon,Apartment,CA,94503,"[{'bedroom_type': '1 Bed', 'price': '$1,943'}, {'bedroom_type': '2 Beds', 'price': '$2,607'}]","800 Reliant Way, American Canyon, CA 94503",https://www.apartments.com/canyon-ridge-at-napa-junction-american-canyon-ca/3hrcp0g/,,"$1,943","$2,607",,,,,,,
Oceanaire,Long Beach,Apartment,CA,90802,"[{'bedroom_type': 'Studio', 'price': '$2,103'}, {'bedroom_type': '1 Bed', 'price': '$2,276'}, {'bedroom_type': '2 Beds', 'price': '$3,116'}, {'bedroom_type': '3 Beds', 'price': '$4,672'}]","150 W Ocean Blvd, Long Beach, CA 90802",https://www.apartments.com/oceanaire-long-beach-ca/mz21qgj/,"$2,103","$2,276","$3,116","$4,672",,,,,,
Mira,Canoga Park,Apartment,CA,91303,"[{'bedroom_type': 'Studio', 'price': '$2,080'}, {'bedroom_type': '1 Bed', 'price': '$2,069'}, {'bedroom_type': '2 Beds', 'price': '$2,571'}]","21425 Vanowen St, Canoga Park, CA 91303",https://www.apartments.com/mira-canoga-park-ca/38l7eqg/,"$2,080","$2,069","$2,571",,,,,,,
580 Anton,Costa Mesa,Apartment,CA,92626,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$2,470'}, {'bedroom_type': '2 Beds', 'price': '$2,914'}]","580 Anton Blvd, Costa Mesa, CA 92626",https://www.apartments.com/580-anton-costa-mesa-ca/e1ls8wn/,,"$2,470","$2,914",,,,,,,
The Union Flats,Union City,Apartment,CA,94587,"[{'bedroom_type': '1 Bed', 'price': '$2,085'}, {'bedroom_type': '2 Beds', 'price': '$3,140'}]","34588 11th St, Union City, CA 94587",https://www.apartments.com/the-union-flats-union-city-ca/dd1ekmk/,,"$2,085","$3,140",,,,,,,
Waterbend Apartments,San Francisco,Apartment,CA,94124,"[{'bedroom_type': '1 Bed', 'price': '$1,965'}, {'bedroom_type': '2 Beds', 'price': '$2,645'}]","5880 3rd St, San Francisco, CA 94124",https://www.apartments.com/waterbend-apartments-san-francisco-ca/l7w7epd/,,"$1,965","$2,645",,,,,,,
Cadence,Hayward,Apartment,CA,94544,"[{'bedroom_type': '1 Bed', 'price': '$2,158'}, {'bedroom_type': '2 Beds', 'price': '$2,897'}]","28850 Dixon St, Hayward, CA 94544",https://www.apartments.com/cadence-hayward-ca/lwhqrze/,,"$2,158","$2,897",,,,,,,
Idora,Oakland,Apartment,CA,94619,"[{'bedroom_type': '1 Bed', 'price': '$2,390'}, {'bedroom_type': '2 Beds', 'price': '$2,582'}]","5239 Claremont Ave, Oakland, CA 94619",https://www.apartments.com/idora-oakland-ca/1fcxg94/,,"$2,390","$2,582",,,,,,,
Alta Waverly,Oakland,Apartment,CA,94612,"[{'bedroom_type': 'Studio', 'price': '$2,038'}, {'bedroom_type': '1 Bed', 'price': '$2,823'}, {'bedroom_type': '2 Beds', 'price': '$3,366'}]","2302 Valdez St, Oakland, CA 94612",https://www.apartments.com/alta-waverly-oakland-ca/qhn9g7w/,"$2,038","$2,823","$3,366",,,,,,,
