City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,Studio,3 Beds,6 Beds,1 – 2 Beds,Studio – 2 Beds,4 Beds
San Francisco,Condos,CA,94109,"[{'bedroom_type': '1 Bed', 'price': '$2,95'}]","900 Bush St, San Francisco, CA 94109",https://www.apartments.com/900-bush-st-san-francisco-ca-unit-818/xmmctkp/,1 BA,648 Sq Ft,648,12 Month Lease,Available Now,,"$2,95",,,,,,
Buena Park,Condos,CA,90620,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","Buena Park, CA 90620",https://www.apartments.com/6941-houston-st-buena-park-ca/b5kz1fb/,1½ BAs,"1,020 Sq Ft","1,020",12 Month Lease,Available Now,"$1,99",,,,,,,
Twentynine Palms,Condos,CA,92277,"[{'bedroom_type': '2 Beds', 'price': '$1,22'}]","Twentynine Palms, CA 92277",https://www.apartments.com/6671-ocotillo-ave-twentynine-palms-ca/w43mhcl/,2 BAs,"1,134 Sq Ft","1,134",6 Month Lease,Available Now,"$1,22",,,,,,,
San Jose,Condos,CA,95132,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","2750 Somerset Park Cir, San Jose, CA 95132",https://www.apartments.com/2750-somerset-park-cir-san-jose-ca-unit-1/1hp8576/,2 BAs,831 Sq Ft,831,12 Month Lease,Available Now,"$2,45",,,,,,,
Sacramento,Condos,CA,95824,"[{'bedroom_type': 'Studio – 2 Beds', 'price': '$750'}]","Sacramento, CA 95824",https://www.apartments.com/3811-44th-ave-sacramento-ca/k71xtjb/,1 BA,460 Sq Ft,460,12 Month Lease,Available Now,,,,,,,$750,
Sacramento,Condos,CA,95824,"[{'bedroom_type': '1 Bed', 'price': '$1,20'}]","Sacramento, CA 95824",https://www.apartments.com/3800-44th-ave-sacramento-ca/8eb78b3/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,"$1,20",,,,,,
Rosemead,Condos,CA,91770,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Rosemead, CA 91770",https://www.apartments.com/2021-lerida-pl-rosemead-ca/76zb4qx/,1 BA,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,"$2,20",,,,,,,
San Diego,Condos,CA,92109,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","727 Sapphire St, San Diego, CA 92109",https://www.apartments.com/727-sapphire-st-san-diego-ca-unit-303/h98vcr1/,2 BAs,944 Sq Ft,944,12 Month Lease,Available Now,"$3,50",,,,,,,
Ventura,Condos,CA,93001,"[{'bedroom_type': '2 Beds', 'price': '$6,60'}]","884 Vallecito Dr, Ventura, CA 93001",https://www.apartments.com/884-vallecito-dr-ventura-ca-unit-seaview-hills/js2v2c7/,2 BAs,"1,710 Sq Ft","1,710",1 Month Lease,Available Now,"$6,60",,,,,,,
Berkeley,Condos,CA,94704,"[{'bedroom_type': '1 Bed', 'price': '$2,18'}]","Berkeley, CA 94704",https://www.apartments.com/2-panoramic-way-berkeley-ca/0xpx5v0/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$2,18",,,,,,
Santa Monica,Condos,CA,90403,"[{'bedroom_type': '3 Beds', 'price': '$4,59'}]","933 6th St, Santa Monica, CA 90403",https://www.apartments.com/933-6th-st-santa-monica-ca/ngc7l4m/,2 BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,,"$4,59",,,,
San Diego,Condos,CA,92128,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","12178 Rancho Bernardo Rd, San Diego, CA 92128",https://www.apartments.com/12178-rancho-bernardo-rd-san-diego-ca-unit-b/l7y8wne/,2 BAs,"1,091 Sq Ft","1,091",6 Month Lease,Available Now,"$2,40",,,,,,,
Rolling Hills Estates,Condos,CA,90274,"[{'bedroom_type': '3 Beds', 'price': '$3,70'}]","49 Sycamore Ln, Rolling Hills Estates, CA 90274",https://www.apartments.com/49-sycamore-ln-rolling-hills-estates-ca/g9jbl4x/,2 BAs,"1,590 Sq Ft","1,590",12 Month Lease,Available Now,,,,"$3,70",,,,
Huntington Beach,Condos,CA,92647,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","Huntington Beach, CA 92647",https://www.apartments.com/7260-corsican-dr-huntington-beach-ca/6h4jpfr/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,"$2,60",,,,
Rancho Mirage,Condos,CA,92270,"[{'bedroom_type': '3 Beds', 'price': '$4,99'}]","192 N Kavenish Dr, Rancho Mirage, CA 92270",https://www.apartments.com/192-n-kavenish-dr-rancho-mirage-ca-unit-192/dy4t3zh/,3 BAs,"2,500 Sq Ft","2,500",3 Month Lease,Apr 12,,,,"$4,99",,,,
Long Beach,Condos,CA,90803,"[{'bedroom_type': '3 Beds', 'price': '$4,30'}]","Long Beach, CA 90803",https://www.apartments.com/46-61st-pl-long-beach-ca/r8myzt0/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,,"$4,30",,,,
Los Gatos,Condos,CA,95032,"[{'bedroom_type': '1 – 2 Beds', 'price': '$2,250'}]","Los Gatos, CA 95032",https://www.apartments.com/200-towne-ter-los-gatos-ca/whw1rvl/,1 BA,740 Sq Ft,740,1 Month Lease,Available Now,,,,,,"$2,250",,
Garden Grove,Condos,CA,92845,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","6850 Lampson Ave, Garden Grove, CA 92845",https://www.apartments.com/6850-lampson-ave-garden-grove-ca-unit-6850/mvervzh/,2½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,"$2,80",,,,
Sacramento,Condos,CA,95826,"[{'bedroom_type': '1 Bed', 'price': '$1,24'}]","Sacramento, CA 95826",https://www.apartments.com/7889-la-riviera-dr-sacramento-ca/n06gldq/,1 BA,597 Sq Ft,597,12 Month Lease,Available Now,,"$1,24",,,,,,
North Hollywood,Condos,CA,91605,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","6938 Laurel Canyon Blvd, North Hollywood, CA 91605",https://www.apartments.com/6938-laurel-canyon-blvd-north-hollywood-ca-unit-111/rfr82p1/,2 BAs,910 Sq Ft,910,12 Month Lease,Available Now,"$2,50",,,,,,,
