Property_Name_Rent,City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Studio,1 Bed,2 Beds,3 Beds,4 Beds,"
													Studio
															–
3 Beds											","
													2 Beds
											","
													1 Bed
											","
													1 Bed
															–
3 Beds											","
													Studio
															–
2 Beds											","
2 																	–
4 Beds													"
VINEYARD GATE APARTMENTS,Roseville,Apartment,CA,95747,"[{'bedroom_type': '1 Bed', 'price': '$1,635'}, {'bedroom_type': '2 Beds', 'price': '$1,882'}, {'bedroom_type': '3 Beds', 'price': '$2,245'}]","1601 Vineyard Rd, Roseville, CA 95747",https://www.apartments.com/vineyard-gate-apartments-roseville-ca/0pxqle0/,,"$1,635 ","$1,882 ","$2,245 ",,,,,,,
RIVER TERRACE,Sacramento,Apartment,CA,95833,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$1,305'}]","2593 Millcreek Dr, Sacramento, CA 95833",https://www.apartments.com/river-terrace-sacramento-ca/2bfezg8/,,,"$1,305 ",,,,,,,,
Hollypark Knolls,Inglewood,Apartment,CA,90305,"[{'bedroom_type': 'Studio', 'price': '$1,630'}, {'bedroom_type': '1 Bed', 'price': '$1,584'}, {'bedroom_type': '2 Beds', 'price': '$2,032'}]","3120 Hollypark Dr, Inglewood, CA 90305",https://www.apartments.com/hollypark-knolls-inglewood-ca/3k3yh1f/,"$1,630 ","$1,584 ","$2,032 ",,,,,,,,
Windfaire Apartments,North Hollywood,Apartment,CA,91601,"[{'bedroom_type': '1 Bed', 'price': '$1,905'}, {'bedroom_type': '2 Beds', 'price': '$2,440'}, {'bedroom_type': '3 Beds', 'price': '$2,830'}]","11047 Otsego St, North Hollywood, CA 91601",https://www.apartments.com/windfaire-apartments-north-hollywood-ca/w5sy1ch/,,"$1,905 ","$2,440 ","$2,830 ",,,,,,,
HIDDEN CREEK,Vacaville,Apartment,CA,95687,"[{'bedroom_type': '1 Bed', 'price': '$1,745'}, {'bedroom_type': '2 Beds', 'price': '$2,065'}]","1701 Marshall Rd, Vacaville, CA 95687",https://www.apartments.com/hidden-creek-vacaville-ca/qfj1nzw/,,"$1,745 ","$2,065 ",,,,,,,,
SIENA VILLAS,Elk Grove,Apartment,CA,95758,"[{'bedroom_type': '1 Bed', 'price': '$1,515'}, {'bedroom_type': '2 Beds', 'price': '$1,848'}, {'bedroom_type': '3 Beds', 'price': '$2,145'}]","9130 Nolan St, Elk Grove, CA 95758",https://www.apartments.com/siena-villas-elk-grove-ca/424x3eh/,,"$1,515 ","$1,848 ","$2,145 ",,,,,,,
Monte Bello Apartments,Sacramento,Apartment,CA,95826,"[{'bedroom_type': '1 Bed', 'price': '$1,551'}, {'bedroom_type': '2 Beds', 'price': '$1,688'}, {'bedroom_type': '3 Beds', 'price': '$2,616'}]","4001 S Watt Ave, Sacramento, CA 95826",https://www.apartments.com/monte-bello-apartments-sacramento-ca/w20x6lj/,,"$1,551 ","$1,688 ","$2,616 ",,,,,,,
WINDSOR RIDGE,Sacramento,Apartment,CA,95827,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t1 Bed\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t–\r\n2 Beds\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","9551 Butterfield Way, Sacramento, CA 95827",https://www.apartments.com/windsor-ridge-sacramento-ca/hjqc2b1/,,,,,,,,,,,
Silverstone Apartments,Davis,Apartment,CA,95618,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bed', 'price': '$1,833'}, {'bedroom_type': '2 Beds', 'price': '$1,859'}, {'bedroom_type': '3 Beds', 'price': '$2,653'}]","2400 Pole Line Rd, Davis, CA 95618",https://www.apartments.com/silverstone-apartments-davis-ca/7g4h39w/,,"$1,833 ","$1,859 ","$2,653 ",,,,,,,
La Verne Village Luxury Apartment Homes,La Verne,Apartment,CA,91750,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$2,370'}, {'bedroom_type': '3 Beds', 'price': ''}]","2777-2855 Foothill Blvd, La Verne, CA 91750",https://www.apartments.com/la-verne-village-luxury-apartment-homes-la-verne-ca/n59hrnm/,,,"$2,370 ",,,,,,,,
River Ranch Townhomes & Apartments,Santa Clarita,Apartment,CA,91387,"[{'bedroom_type': '1 Bed', 'price': ''}, {'bedroom_type': '2 Beds', 'price': '$2,054'}, {'bedroom_type': '3 Beds', 'price': '$2,436'}]","18005 W Annes Cir, Santa Clarita, CA 91387",https://www.apartments.com/river-ranch-townhomes-apartments-santa-clarita-ca/gp59qyy/,,,"$2,054 ","$2,436 ",,,,,,,
Costa Verde Village,San Diego,Apartment,CA,92122,"[{'bedroom_type': 'Studio', 'price': '$1,725'}, {'bedroom_type': '1 Bed', 'price': '$1,950'}, {'bedroom_type': '2 Beds', 'price': '$2,350'}, {'bedroom_type': '3 Beds', 'price': '$3,350'}]","8720 Costa Verde Blvd, San Diego, CA 92122",https://www.apartments.com/costa-verde-village-san-diego-ca/q2krkky/,"$1,725 ","$1,950 ","$2,350 ","$3,350 ",,,,,,,
Casa Mira View,San Diego,Apartment,CA,92126,"[{'bedroom_type': '1 Bed', 'price': '$1,925'}, {'bedroom_type': '2 Beds', 'price': '$2,325'}, {'bedroom_type': '3 Beds', 'price': '$2,975'}]","9800 Mira Lee Way, San Diego, CA 92126",https://www.apartments.com/casa-mira-view-san-diego-ca/yn9q6jt/,,"$1,925 ","$2,325 ","$2,975 ",,,,,,,
Park View Apartment Homes,Thousand Oaks,Apartment,CA,91362,"[{'bedroom_type': 'Studio', 'price': '$1,900'}, {'bedroom_type': '1 Bed', 'price': '$2,300'}, {'bedroom_type': '2 Beds', 'price': '$2,550'}]","256-268 Erbes Rd, Thousand Oaks, CA 91362",https://www.apartments.com/park-view-apartment-homes-thousand-oaks-ca/s18f6b4/,"$1,900 ","$2,300 ","$2,550 ",,,,,,,,
Tierrasanta Ridge,San Diego,Apartment,CA,92124,"[{'bedroom_type': '1 Bed', 'price': '$1,825'}, {'bedroom_type': '2 Beds', 'price': '$2,045'}]","5410 Repecho Dr, San Diego, CA 92124",https://www.apartments.com/tierrasanta-ridge-san-diego-ca/scw8037/,,"$1,825 ","$2,045 ",,,,,,,,
Rancho Hillside,El Cajon,Apartment,CA,92019,"[{'bedroom_type': '1 Bed', 'price': '$1,928'}, {'bedroom_type': '2 Beds', 'price': '$2,248'}]","12367 Calle Albara, El Cajon, CA 92019",https://www.apartments.com/rancho-hillside-el-cajon-ca/9cb22x7/,,"$1,928 ","$2,248 ",,,,,,,,
Mustang Village,San Luis Obispo,Apartment,CA,93405,"[{'bedroom_type': '\r\nStudio\t\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$1,284'}, {'bedroom_type': '\r\n4 Beds\t\t\t\t\t\t\t\t\t\t\t\t\t', 'price': '$999'}]","1 Mustang Dr, San Luis Obispo, CA 93405",https://www.apartments.com/mustang-village-san-luis-obispo-ca/w3myfmh/,"$1,284 ",,,,,,,,,,
Broadstone Apartment Homes,San Bernardino,Apartment,CA,92407,"[{'bedroom_type': '1 Bed', 'price': '$1,460'}, {'bedroom_type': '2 Beds', 'price': '$1,725'}]","1930 W College Ave, San Bernardino, CA 92407",https://www.apartments.com/broadstone-apartment-homes-san-bernardino-ca/y13r95r/,,"$1,460 ","$1,725 ",,,,,,,,
Oakwood Residence Redwood City,Redwood City,Apartment,CA,94061,"[{'bedroom_type': '1 Bed', 'price': '$2,307'}, {'bedroom_type': '2 Beds', 'price': '$3,006'}]","2580 El Camino Real, Redwood City, CA 94061",https://www.apartments.com/oakwood-residence-redwood-city-redwood-city-ca/h0n15e0/,,"$2,307 ","$3,006 ",,,,,,,,
888 Hilgard Furnished Living & short-term,Los Angeles,Apartment,CA,90024,"[{'bedroom_type': '1 Bed', 'price': '$3,400'}, {'bedroom_type': '2 Beds', 'price': '$5,000'}]","888 Hilgard Ave, Los Angeles, CA 90024",https://www.apartments.com/888-hilgard-furnished-living-short-term-los-angeles-ca/d2rh6bh/,,"$3,400 ","$5,000 ",,,,,,,,
Glenbrook Apartments,Cupertino,Apartment,CA,95014,"[{'bedroom_type': '1 Bed', 'price': '$1,995'}, {'bedroom_type': '2 Beds', 'price': '$2,995'}, {'bedroom_type': '3 Beds', 'price': '$3,845'}]","10100 Mary Ave, Cupertino, CA 95014",https://www.apartments.com/glenbrook-apartments-cupertino-ca/e3bpmzq/,,"$1,995 ","$2,995 ","$3,845 ",,,,,,,
The Villas at Villaggio Apartments,Modesto,Apartment,CA,95355,"[{'bedroom_type': '1 Bed', 'price': '$1,575'}, {'bedroom_type': '2 Beds', 'price': ''}, {'bedroom_type': '3 Beds', 'price': ''}]","2929 Floyd Ave, Modesto, CA 95355",https://www.apartments.com/the-villas-at-villaggio-apartments-modesto-ca/grdfp8w/,,"$1,575 ",,,,,,,,,
Brookhurst Place,Garden Grove,Apartment,CA,92840,"[{'bedroom_type': '2 Beds', 'price': '$2,410'}]","12801 Brookhurst St, Garden Grove, CA 92840",https://www.apartments.com/brookhurst-place-garden-grove-ca/xfhzfjq/,,,"$2,410 ",,,,,,,,
Juliette,North Hollywood,Apartment,CA,91601,"[{'bedroom_type': 'Studio', 'price': '$1,695'}, {'bedroom_type': '1 Bed', 'price': '$2,195'}]","11246 W Otsego St, North Hollywood, CA 91601",https://www.apartments.com/juliette-north-hollywood-ca/wkckjth/,"$1,695 ","$2,195 ",,,,,,,,,
The Terrace Apartments,Orange,Apartment,CA,92868,"[{'bedroom_type': 'Studio', 'price': '$1,603'}, {'bedroom_type': '1 Bed', 'price': '$1,821'}, {'bedroom_type': '2 Beds', 'price': '$2,210'}]","200 City Blvd W, Orange, CA 92868",https://www.apartments.com/the-terrace-apartments-orange-ca/g1c1p6x/,"$1,603 ","$1,821 ","$2,210 ",,,,,,,,
Seacrest Homes Apartments,Torrance,Apartment,CA,90501,"[{'bedroom_type': '2 Beds', 'price': '$2,600'}, {'bedroom_type': '3 Beds', 'price': '$3,525'}]","1311 W Sepulveda Blvd, Torrance, CA 90501",https://www.apartments.com/seacrest-homes-apartments-torrance-ca/l5ebktg/,,,"$2,600 ","$3,525 ",,,,,,,
Palm Terrace Condominiums,Concord,Apartment,CA,94520,"[{'bedroom_type': '1 Bed', 'price': '$1,750'}, {'bedroom_type': '2 Beds', 'price': '$2,295'}, {'bedroom_type': '3 Beds', 'price': '$2,545'}, {'bedroom_type': '4 Beds', 'price': '$2,750'}]","2925 Monument Blvd, Concord, CA 94520",https://www.apartments.com/palm-terrace-condominiums-concord-ca/lb28ebf/,,"$1,750 ","$2,295 ","$2,545 ","$2,750 ",,,,,,
