City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,1 – 2 Beds,Studio,3 Beds,4 Beds
Los Angeles,Condos,CA,90065,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","4686 Woodside Dr, Los Angeles, CA 90065",https://www.apartments.com/4686-woodside-dr-los-angeles-ca/qvl9gny/,1 BA,600 Sq Ft,600,9 Month Lease,Available Now,,"$1,50",,,,
San Mateo,Condos,CA,94404,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","400 Mariners Island Blvd, San Mateo, CA 94404",https://www.apartments.com/400-mariners-island-blvd-san-mateo-ca-unit-316/v862lld/,1 BA,911 Sq Ft,911,6 Month Lease,Available Now,,"$2,50",,,,
Santa Cruz,Condos,CA,95062,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","1148 E Cliff Dr, Santa Cruz, CA 95062",https://www.apartments.com/1148-e-cliff-dr-santa-cruz-ca-unit-a/mz2egek/,2 BAs,"2,500 Sq Ft","2,500",12 Month Lease,Available Now,,,,,"$6,50",
San Jose,Condos,CA,95112,"[{'bedroom_type': '1 Bed', 'price': '$1,650'}]","San Jose, CA 95112",https://www.apartments.com/643-nordale-ave-san-jose-ca/64xvmjv/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$1,650",,,,
Livermore,Condos,CA,94550,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","Livermore, CA 94550",https://www.apartments.com/3202-saratoga-ct-livermore-ca/nmhnn5m/,1 BA,790 Sq Ft,790,12 Month Lease,Jan 15,,"$2,60",,,,
Walnut Creek,Condos,CA,94597,"[{'bedroom_type': 'Studio', 'price': '$1,75'}]","Walnut Creek, CA 94597",https://www.apartments.com/2420-overlook-dr-walnut-creek-ca/22kfl58/,1 BA,540 Sq Ft,540,12 Month Lease,Available Now,,,,"$1,75",,
Newport Beach,Condos,CA,92663,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","Newport Beach, CA 92663",https://www.apartments.com/236-catalina-dr-newport-beach-ca/1j7lkn7/,1½ BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,,"$3,50",
Sacramento,Condos,CA,95834,"[{'bedroom_type': '1 Bed', 'price': '$1,49'}]","4200 E Commerce Way, Sacramento, CA 95834",https://www.apartments.com/4200-e-commerce-way-sacramento-ca-unit-2211/slrq5y5/,1 BA,667 Sq Ft,667,12 Month Lease,Jan 25,,"$1,49",,,,
Calabasas,Condos,CA,91302,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","Calabasas, CA 91302",https://www.apartments.com/4748-park-granada-calabasas-ca/q2xm4ry/,1 BA,"1,300 Sq Ft","1,300",12 Month Lease,Jan 24,,,,,"$3,30",
Los Angeles,Condos,CA,90017,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","Los Angeles, CA 90017",https://www.apartments.com/432-union-dr-los-angeles-ca/306kh7e/,1 BA,845 Sq Ft,845,12 Month Lease,Available Now,"$2,35",,,,,
