City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,1 Bed,1 – 2 Beds,Studio,3 Beds,4 Beds
Santa Clara,Condos,CA,95054,"[{'bedroom_type': '1 Bed', 'price': '$1,59'}]","Santa Clara, CA 95054",https://www.apartments.com/4440-bassett-st-santa-clara-ca/ygj4tlt/,1 BA,465 Sq Ft,465,6 Month Lease,Available Now,,"$1,59",,,,
Mountain View,Condos,CA,94041,"[{'bedroom_type': 'Studio', 'price': '$1,42'}]","Mountain View, CA 94041",https://www.apartments.com/850-calderon-ave-mountain-view-ca/79sgw1y/,1 BA,400 Sq Ft,400,6 Month Lease,Available Now,,,,"$1,42",,
Oakland,Condos,CA,94607,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","423 7th St, Oakland, CA 94607",https://www.apartments.com/423-7th-st-oakland-ca-unit-410/1sywsx6/,2 BAs,"1,176 Sq Ft","1,176",12 Month Lease,Available Now,"$2,70",,,,,
Palm Springs,Condos,CA,92264,"[{'bedroom_type': '1 Bed', 'price': '$2,19'}]","1655 E Palm Canyon Dr, Palm Springs, CA 92264",https://www.apartments.com/1655-e-palm-canyon-dr-palm-springs-ca-unit-103/qym1g6w/,1 BA,700 Sq Ft,700,1 Month Lease,Apr 12,,"$2,19",,,,
La Quinta,Condos,CA,92253,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","45245 Seeley Dr, La Quinta, CA 92253",https://www.apartments.com/45245-seeley-dr-la-quinta-ca-unit-18c/630b43t/,2½ BAs,"1,250 Sq Ft","1,250",1 Month Lease,Mar 1,"$3,50",,,,,
Los Angeles,Condos,CA,90029,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","Los Angeles, CA 90029",https://www.apartments.com/1163-sanborn-ave-los-angeles-ca/ewfr5fn/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Jan 2,"$2,40",,,,,
Burbank,Condos,CA,91504,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","1622 Grismer Ave, Burbank, CA 91504",https://www.apartments.com/1622-grismer-ave-burbank-ca/6qxj4fs/,1 BA,825 Sq Ft,825,9 Month Lease,Available Now,,"$1,60",,,,
Oakland,Condos,CA,94609,"[{'bedroom_type': '1 Bed', 'price': '$2,70'}]","Oakland, CA 94609",https://www.apartments.com/536-63rd-st-oakland-ca/p2x1kvs/,1 BA,"1,100 Sq Ft","1,100",6 Month Lease,Available Now,,"$2,70",,,,
Pittsburg,Condos,CA,94565,"[{'bedroom_type': '2 Beds', 'price': '$1,75'}]","Pittsburg, CA 94565",https://www.apartments.com/950-east-st-pittsburg-ca/ts8es6c/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,75",,,,,
Tiburon,Condos,CA,94920,"[{'bedroom_type': '1 Bed', 'price': '$2,49'}]","Tiburon, CA 94920",https://www.apartments.com/20-circle-dr-tiburon-ca/30hjxgf/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Jan 15,,"$2,49",,,,
Chico,Condos,CA,95926,"[{'bedroom_type': '4 Beds', 'price': '$44'}]","Chico, CA 95926",https://www.apartments.com/811-w-2nd-ave-chico-ca/pk3klet/,2 BAs,100 Sq Ft,100,12 Month Lease,Available Now,,,,,,$44
Long Beach,Condos,CA,90802,"[{'bedroom_type': '1 Bed', 'price': '$1,51'}]","Long Beach, CA 90802",https://www.apartments.com/644-w-5th-st-long-beach-ca/cmnn8vf/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$1,51",,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '3 Beds', 'price': '$5,29'}]","869 S Wooster St, Los Angeles, CA 90035",https://www.apartments.com/869-s-wooster-st-los-angeles-ca-unit-103/896r5k3/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Feb 1,,,,,"$5,29",
Pacific Grove,Condos,CA,93950,"[{'bedroom_type': '1 Bed', 'price': '$2,59'}]","137 4th St, Pacific Grove, CA 93950",https://www.apartments.com/137-4th-st-pacific-grove-ca-unit-a/15ykfn5/,1 BA,975 Sq Ft,975,12 Month Lease,Jan 20,,"$2,59",,,,
South San Francisco,Condos,CA,94080,"[{'bedroom_type': '1 Bed', 'price': '$2,00'}]","South San Francisco, CA 94080",https://www.apartments.com/555-grand-ave-south-san-francisco-ca/xdlv12m/,1 BA,630 Sq Ft,630,12 Month Lease,Available Now,,"$2,00",,,,
Walnut Creek,Condos,CA,94596,"[{'bedroom_type': '1 Bed', 'price': '$2,25'}]","1315 Alma Ave, Walnut Creek, CA 94596",https://www.apartments.com/1315-alma-ave-walnut-creek-ca-unit-251/7xvy7by/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,,"$2,25",,,,
Irvine,Condos,CA,92618,"[{'bedroom_type': '1 Bed', 'price': '$1,97'}]","4203 Apricot Dr, Irvine, CA 92618",https://www.apartments.com/4203-apricot-dr-irvine-ca-unit-4203/9e76mg4/,1 BA,824 Sq Ft,824,12 Month Lease,Available Now,,"$1,97",,,,
Woodside,Condos,CA,94062,"[{'bedroom_type': '1 Bed', 'price': '$3,07'}]","Woodside, CA 94062",https://www.apartments.com/20-cragmont-way-woodside-ca/q92mvyz/,1 BA,"1,025 Sq Ft","1,025",12 Month Lease,Available Now,,"$3,07",,,,
San Diego,Condos,CA,92106,"[{'bedroom_type': '2 Beds', 'price': '$4,70'}]","1233 Shafter St, San Diego, CA 92106",https://www.apartments.com/1233-shafter-st-san-diego-ca-unit-2/pxevjws/,2 BAs,"1,900 Sq Ft","1,900",12 Month Lease,Available Now,"$4,70",,,,,
San Diego,Condos,CA,92106,"[{'bedroom_type': '1 Bed', 'price': '$3,40'}]","1233 Shafter St, San Diego, CA 92106",https://www.apartments.com/1233-shafter-st-san-diego-ca/ffp6x5t/,1 BA,"1,800 Sq Ft","1,800",12 Month Lease,Available Now,,"$3,40",,,,
Concord,Condos,CA,94521,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","5450 Concord Blvd, Concord, CA 94521",https://www.apartments.com/5450-concord-blvd-concord-ca-unit-l4/9syg387/,1 BA,904 Sq Ft,904,12 Month Lease,Jan 9,"$1,99",,,,,
Indio,Condos,CA,92201,"[{'bedroom_type': '1 Bed', 'price': '$1,05'}]","Indio, CA 92201",https://www.apartments.com/46595-vargas-rd-indio-ca/bke39h8/,1 BA,600 Sq Ft,600,12 Month Lease,Feb 1,,"$1,05",,,,
San Luis Obispo,Condos,CA,93405,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","1527 Royal Way, San Luis Obispo, CA 93405",https://www.apartments.com/1527-royal-way-san-luis-obispo-ca-unit-4/btn67vc/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,"$2,45",,,,,
San Diego,Condos,CA,92037,"[{'bedroom_type': '1 Bed', 'price': '$2,25'}]","8545 Villa La Jolla Dr, San Diego, CA 92037",https://www.apartments.com/8545-villa-la-jolla-dr-san-diego-ca-unit-c/479f67l/,1 BA,691 Sq Ft,691,12 Month Lease,Jan 4,,"$2,25",,,,
San Diego,Condos,CA,92109,"[{'bedroom_type': 'Studio', 'price': '$1,80'}]","San Diego, CA 92109",https://www.apartments.com/745-san-fernando-pl-san-diego-ca/q4kpj0x/,1 BA,325 Sq Ft,325,1 Month Lease,Available Now,,,,"$1,80",,
Millbrae,Condos,CA,94030,"[{'bedroom_type': '2 Beds', 'price': '$2,39'}]","Millbrae, CA 94030",https://www.apartments.com/481-lincoln-cir-millbrae-ca/mg611wk/,1½ BAs,875 Sq Ft,875,12 Month Lease,Available Now,"$2,39",,,,,
San Mateo,Condos,CA,94401,"[{'bedroom_type': '2 Beds', 'price': '$2,80'}]","San Mateo, CA 94401",https://www.apartments.com/1250-rogell-ave-san-mateo-ca/hmvt5m3/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$2,80",,,,,
El Sobrante,Condos,CA,94803,"[{'bedroom_type': '1 Bed', 'price': '$1,45'}]","El Sobrante, CA 94803",https://www.apartments.com/4919-hilltop-dr-el-sobrante-ca/y8lkn7r/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,"$1,45",,,,
San Mateo,Condos,CA,94401,"[{'bedroom_type': 'Studio', 'price': '$1,75'}]","San Mateo, CA 94401",https://www.apartments.com/516-fallon-ave-san-mateo-ca/k15d5x9/,1 BA,200 Sq Ft,200,6 Month Lease,Available Now,,,,"$1,75",,
Palm Springs,Condos,CA,92262,"[{'bedroom_type': '2 Beds', 'price': '$3,04'}]","1259 Va Tenis, Palm Springs, CA 92262",https://www.apartments.com/1259-va-tenis-palm-springs-ca-unit-1259/es0g86p/,2 BAs,"1,252 Sq Ft","1,252",2 Month Lease,Available Now,"$3,04",,,,,
San Mateo,Condos,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$3,60'}]","1951 Ofarrell St, San Mateo, CA 94403",https://www.apartments.com/1951-ofarrell-st-san-mateo-ca-unit-108/886kxx3/,2 BAs,"1,145 Sq Ft","1,145",12 Month Lease,Available Now,"$3,60",,,,,
Monrovia,Condos,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$2,10'}]","117 S Ivy Ave, Monrovia, CA 91016",https://www.apartments.com/117-s-ivy-ave-monrovia-ca/wd7dvyj/,1 BA,850 Sq Ft,850,12 Month Lease,Available Now,"$2,10",,,,,
Lafayette,Condos,CA,94549,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","Lafayette, CA 94549",https://www.apartments.com/1085-orchard-rd-lafayette-ca/hhmc7z2/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$2,30",,,,,
Pasadena,Condos,CA,91101,"[{'bedroom_type': '1 Bed', 'price': '$1,67'}]","254 Pleasant St, Pasadena, CA 91101",https://www.apartments.com/254-pleasant-st-pasadena-ca/kmbf8gc/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,"$1,67",,,,
Pico Rivera,Condos,CA,90660,"[{'bedroom_type': '1 Bed', 'price': '$1,25'}]","Pico Rivera, CA 90660",https://www.apartments.com/9148a-verner-st-pico-rivera-ca/yl0mbhr/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,"$1,25",,,,
Fullerton,Condos,CA,92833,"[{'bedroom_type': '1 Bed', 'price': '$1,45'}]","Fullerton, CA 92833",https://www.apartments.com/1308-w-valencia-dr-fullerton-ca/27l8fsc/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,,"$1,45",,,,
Whittier,Condos,CA,90605,"[{'bedroom_type': '1 Bed', 'price': '$1,595'}]","Whittier, CA 90605",https://www.apartments.com/8360-sargent-ave-whittier-ca/kz96n6c/,1 BA,520 Sq Ft,520,12 Month Lease,Available Now,,"$1,595",,,,
La Quinta,Condos,CA,92253,"[{'bedroom_type': '2 Beds', 'price': '$3,00'}]","45245 Seeley Dr, La Quinta, CA 92253",https://www.apartments.com/45245-seeley-dr-la-quinta-ca-unit-18c/1d5kfd7/,2½ BAs,"1,250 Sq Ft","1,250",1 Month Lease,Mar 1,"$3,00",,,,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","San Clemente, CA 92672",https://www.apartments.com/312-avenida-cabrillo-san-clemente-ca/2jrbgt9/,1 BA,840 Sq Ft,840,6 Month Lease,Available Now,"$2,40",,,,,
Los Angeles,Condos,CA,90011,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","Los Angeles, CA 90011",https://www.apartments.com/1129-e-52nd-st-los-angeles-ca/52qccpm/,1 BA,720 Sq Ft,720,12 Month Lease,Available Now,"$1,80",,,,,
