City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,4 Beds,1 Bed,4+ Beds,Studio,5 Beds
Sunnyvale,Townhomes,CA,94087,"[{'bedroom_type': '3 Beds', 'price': '$3,90'}]","720 Blair Ct, Sunnyvale, CA 94087",https://www.apartments.com/720-blair-ct-sunnyvale-ca/ln9jqwe/,2½ BAs,"1,356 Sq Ft","1,356",12 Month Lease,Available Now,,"$3,90",,,,,
Palm Desert,Townhomes,CA,92260,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","73490 Foxtail Ln, Palm Desert, CA 92260",https://www.apartments.com/73490-foxtail-ln-palm-desert-ca/eyhs4rq/,2 BAs,"1,275 Sq Ft","1,275",1 Month Lease,Available Now,"$2,40",,,,,,
Oceanside,Townhomes,CA,92056,"[{'bedroom_type': '3 Beds', 'price': '$2,70'}]","3626 Harvard Dr, Oceanside, CA 92056",https://www.apartments.com/3626-harvard-dr-oceanside-ca/rjwq3l2/,2½ BAs,"1,353 Sq Ft","1,353",12 Month Lease,Available Now,,"$2,70",,,,,
Sacramento,Townhomes,CA,95818,"[{'bedroom_type': '1 Bed', 'price': '$1,43'}]","2507 W St, Sacramento, CA 95818",https://www.apartments.com/2507-w-st-sacramento-ca/xp3hmmm/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,,"$1,43",,,
Redondo Beach,Townhomes,CA,90277,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","107 S Guadalupe Ave, Redondo Beach, CA 90277",https://www.apartments.com/107-s-guadalupe-ave-redondo-beach-ca/676m81t/,2½ BAs,"1,400 Sq Ft","1,400",6 Month Lease,Available Now,"$3,50",,,,,,
Chico,Townhomes,CA,95926,"[{'bedroom_type': '3 Beds', 'price': '$1,32'}]","925 Oak Lawn Ave, Chico, CA 95926",https://www.apartments.com/925-oak-lawn-ave-chico-ca/dyhcxtl/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$1,32",,,,,
San Jose,Townhomes,CA,95134,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","4179 Boneso Cir, San Jose, CA 95134",https://www.apartments.com/4179-boneso-cir-san-jose-ca/jh6jhr5/,2½ BAs,"1,130 Sq Ft","1,130",12 Month Lease,Available Now,"$3,10",,,,,,
Santa Clara,Townhomes,CA,95054,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","4173 Cheeney St, Santa Clara, CA 95054",https://www.apartments.com/4173-cheeney-st-santa-clara-ca/73d279z/,1 BA,775 Sq Ft,775,3 Month Lease,Available Now,"$2,70",,,,,,
San Diego,Townhomes,CA,92130,"[{'bedroom_type': '3 Beds', 'price': '$3,75'}]","6012 Village Center Loop Rd, San Diego, CA 92130",https://www.apartments.com/6012-village-center-loop-rd-san-diego-ca/k8p5jr8/,2½ BAs,"1,900 Sq Ft","1,900",12 Month Lease,Available Now,,"$3,75",,,,,
Santa Clara,Townhomes,CA,95050,"[{'bedroom_type': '3 Beds', 'price': '$3,24'}]","2469 Michele Jean Way, Santa Clara, CA 95050",https://www.apartments.com/2469-michele-jean-way-santa-clara-ca/dqc094l/,2 BAs,"1,475 Sq Ft","1,475",12 Month Lease,Available Now,,"$3,24",,,,,
Pittsburg,Townhomes,CA,94565,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","348 Gull Pl, Pittsburg, CA 94565",https://www.apartments.com/348-gull-pl-pittsburg-ca/1cy7347/,3 BAs,200 Sq Ft,200,12 Month Lease,Available Now,,"$3,00",,,,,
Pittsburg,Townhomes,CA,94565,"[{'bedroom_type': '4 Beds', 'price': '$3,20'}]","16 Pelican Ct, Pittsburg, CA 94565",https://www.apartments.com/16-pelican-ct-pittsburg-ca/4hcx7xl/,3 BAs,300 Sq Ft,300,12 Month Lease,Available Now,,,"$3,20",,,,
South El Monte,Townhomes,CA,91733,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","9336 Mabel Ave, South El Monte, CA 91733",https://www.apartments.com/9336-mabel-ave-south-el-monte-ca/7n61npx/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,"$2,20",,,,,,
Palm Springs,Townhomes,CA,92264,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","3027 Regency Dr N, Palm Springs, CA 92264",https://www.apartments.com/3027-regency-dr-n-palm-springs-ca/pb4cn0s/,2 BAs,"1,856 Sq Ft","1,856",12 Month Lease,Available Now,,"$2,40",,,,,
Los Angeles,Townhomes,CA,90004,"[{'bedroom_type': '4 Beds', 'price': '$5,75'}]","611 N Beachwood Dr, Los Angeles, CA 90004",https://www.apartments.com/611-n-beachwood-dr-los-angeles-ca/97gkpk7/,3 BAs,"2,150 Sq Ft","2,150",,Available Now,,,"$5,75",,,,
Santa Rosa,Townhomes,CA,95405,"[{'bedroom_type': '2 Beds', 'price': '$2,25'}]","2946 Yulupa Ave, Santa Rosa, CA 95405",https://www.apartments.com/2946-yulupa-ave-santa-rosa-ca/nt9h5fq/,1½ BAs,"1,200 Sq Ft","1,200",,Available Now,"$2,25",,,,,,
Walnut Creek,Townhomes,CA,94598,"[{'bedroom_type': '2 Beds', 'price': '$3,59'}]","1935 Stratton Cir, Walnut Creek, CA 94598",https://www.apartments.com/1935-stratton-cir-walnut-creek-ca/r56bjd3/,2½ BAs,"1,790 Sq Ft","1,790",12 Month Lease,Available Now,"$3,59",,,,,,
Santa Clara,Townhomes,CA,95054,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","4029 Crandall Cir, Santa Clara, CA 95054",https://www.apartments.com/4029-crandall-cir-santa-clara-ca/m95y5xk/,2½ BAs,"1,716 Sq Ft","1,716",12 Month Lease,Available Now,,"$4,10",,,,,
