City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio,1 – 2 Beds,3 – 4 Beds,4 Beds,1 – 4 Beds
Palm Springs,Condos,CA,92262,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","2822 N Auburn Ct, Palm Springs, CA 92262",https://www.apartments.com/2822-n-auburn-ct-palm-springs-ca-unit-e108/6drtejs/,1 BA,589 Sq Ft,589,12 Month Lease,Available Now,"$1,65",,,,,,,
San Diego,Condos,CA,92128,"[{'bedroom_type': '3 Beds', 'price': '$2,75'}]","12642 Elisa Ln, San Diego, CA 92128",https://www.apartments.com/12642-elisa-ln-san-diego-ca-unit-186/7vyv2lx/,2 BAs,"1,267 Sq Ft","1,267",12 Month Lease,Available Now,,"$2,75",,,,,,
Los Angeles,Condos,CA,90012,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","Los Angeles, CA 90012",https://www.apartments.com/860-figueroa-ter-los-angeles-ca/sqnh5n4/,1 BA,850 Sq Ft,850,1 Month Lease,Available Now,,,"$2,20",,,,,
Orange,Condos,CA,92866,"[{'bedroom_type': 'Studio', 'price': '$1,59'}]","Orange, CA 92866",https://www.apartments.com/224-n-glassell-st-orange-ca/v52gltf/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,,,,"$1,59",,,,
Hanford,Condos,CA,93230,"[{'bedroom_type': '2 Beds', 'price': '$95'}]","Hanford, CA 93230",https://www.apartments.com/421-kaweah-st-hanford-ca/92sfpc7/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,$95,,,,,
Hanford,Condos,CA,93230,"[{'bedroom_type': '2 Beds', 'price': '$97'}]","Hanford, CA 93230",https://www.apartments.com/205-e-11th-st-hanford-ca/78yx72w/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,$97,,,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","Los Angeles, CA 90024",https://www.apartments.com/10944-strathmore-dr-los-angeles-ca/l3ngqed/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$3,40",,,,,
Santa Barbara,Condos,CA,93101,"[{'bedroom_type': '3 Beds', 'price': '$3,10'}]","Santa Barbara, CA 93101",https://www.apartments.com/721-w-islay-st-santa-barbara-ca/h9f7y73/,2 BAs,100 Sq Ft,100,12 Month Lease,Available Now,,"$3,10",,,,,,
Oakland,Condos,CA,94605,"[{'bedroom_type': '2 Beds', 'price': '$2,400'}]","Oakland, CA 94605",https://www.apartments.com/6405-brann-st-oakland-ca/f93shkr/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,400",,,,,
Newport Beach,Condos,CA,92663,"[{'bedroom_type': '2 Beds', 'price': '$3,20'}]","5 Big Dipper Ct, Newport Beach, CA 92663",https://www.apartments.com/5-big-dipper-ct-newport-beach-ca-unit-20/qenvsey/,2½ BAs,"1,216 Sq Ft","1,216",12 Month Lease,Available Now,,,"$3,20",,,,,
Arcadia,Condos,CA,91007,"[{'bedroom_type': '3 Beds', 'price': '$3,20'}]","946 Fairview Ave, Arcadia, CA 91007",https://www.apartments.com/946-fairview-ave-arcadia-ca-unit-1/kbyrjpb/,2½ BAs,"1,673 Sq Ft","1,673",12 Month Lease,Available Now,,"$3,20",,,,,,
