City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio,1 – 2 Beds,3 – 4 Beds,4 Beds,1 – 4 Beds
Pasadena,Condos,CA,91107,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","2386 E Del Mar Blvd, Pasadena, CA 91107",https://www.apartments.com/2386-e-del-mar-blvd-pasadena-ca-unit-220/cpy7nwf/,2 BAs,993 Sq Ft,993,12 Month Lease,Available Now,,,"$2,40",,,,,
Monrovia,Condos,CA,91016,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","Monrovia, CA 91016",https://www.apartments.com/615-wildrose-ave-monrovia-ca/rbf9vg0/,1 BA,600 Sq Ft,600,,Available Now,"$1,60",,,,,,,
Sacramento,Condos,CA,95822,"[{'bedroom_type': '2 Beds', 'price': '$3,84'}]","1127 15th Ave, Sacramento, CA 95822",https://www.apartments.com/1127-15th-ave-sacramento-ca-unit-306/mqjrz6j/,2 BAs,"1,360 Sq Ft","1,360",12 Month Lease,Available Now,,,"$3,84",,,,,
Citrus Heights,Condos,CA,95621,"[{'bedroom_type': '2 Beds', 'price': '$1,50'}]","6540 Bremen Dr, Citrus Heights, CA 95621",https://www.apartments.com/6540-bremen-dr-citrus-heights-ca-unit-3/48wmp5k/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$1,50",,,,,
Long Beach,Condos,CA,90804,"[{'bedroom_type': '1 Bed', 'price': '$1,75'}]","5585 Pacific Coast Hwy, Long Beach, CA 90804",https://www.apartments.com/5585-pacific-coast-hwy-long-beach-ca-unit-144/vxhg13f/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,75",,,,,,,
Dublin,Condos,CA,94568,"[{'bedroom_type': '3 Beds', 'price': '$3,15'}]","3245 Dublin Blvd, Dublin, CA 94568",https://www.apartments.com/3245-dublin-blvd-dublin-ca-unit-4xx/77jtysz/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,"$3,15",,,,,,
San Jose,Condos,CA,95129,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","San Jose, CA 95129",https://www.apartments.com/7230-bark-ln-san-jose-ca/tyzctq8/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,,,"$2,40",,,,,
National City,Condos,CA,91950,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","National City, CA 91950",https://www.apartments.com/2209-e-8th-st-national-city-ca/h5yr713/,2 BAs,851 Sq Ft,851,12 Month Lease,Available Now,,,"$1,99",,,,,
Oceanside,Condos,CA,92054,"[{'bedroom_type': '1 – 2 Beds', 'price': '$1,700'}]","Oceanside, CA 92054",https://www.apartments.com/699-eaton-st-oceanside-ca/nfh3sfq/,1 BA,860 Sq Ft,860,12 Month Lease,Available Now,,,,,"$1,700",,,
San Jose,Condos,CA,95126,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","San Jose, CA 95126",https://www.apartments.com/340-gifford-ave-san-jose-ca/l4blm2f/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,"$1,90",,,,,,,
Westlake Village,Condos,CA,91361,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","1122 Landsburn Cir, Westlake Village, CA 91361",https://www.apartments.com/1122-landsburn-cir-westlake-village-ca-unit-1122/vj2lzwd/,2 BAs,"1,030 Sq Ft","1,030",12 Month Lease,Available Now,,"$2,90",,,,,,
Riverside,Condos,CA,92507,"[{'bedroom_type': '2 Beds', 'price': '$1,50'}]","1000 Central Ave, Riverside, CA 92507",https://www.apartments.com/1000-central-ave-riverside-ca-unit-18/wm9w8sh/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$1,50",,,,,
San Francisco,Condos,CA,94131,"[{'bedroom_type': '3 Beds', 'price': '$5,80'}]","1416 Church St, San Francisco, CA 94131",https://www.apartments.com/1416-church-st-san-francisco-ca-unit-1416/xb8q5vq/,2 BAs,"1,170 Sq Ft","1,170",12 Month Lease,Available Now,,"$5,80",,,,,,
Burbank,Condos,CA,91504,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","Burbank, CA 91504",https://www.apartments.com/2318-n-keystone-st-burbank-ca/e26lhnm/,1 BA,750 - 800 Sq Ft,750,12 Month Lease,Available Now,,,"$2,50",,,,,
Irvine,Condos,CA,92620,"[{'bedroom_type': '3 Beds', 'price': '$3,00'}]","19 Christamon S, Irvine, CA 92620",https://www.apartments.com/19-christamon-s-irvine-ca-unit-23/9kl46z5/,2½ BAs,"1,416 Sq Ft","1,416",12 Month Lease,Available Now,,"$3,00",,,,,,
Tustin,Condos,CA,92780,"[{'bedroom_type': '2 Beds', 'price': '$1,97'}]","Tustin, CA 92780",https://www.apartments.com/1716-nisson-rd-tustin-ca/60b748s/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$1,97",,,,,
Whittier,Condos,CA,90601,"[{'bedroom_type': '3 Beds', 'price': '$2,40'}]","Whittier, CA 90601",https://www.apartments.com/5643-pickering-ave-whittier-ca/n5g2h2m/,1 BA,790 Sq Ft,790,,Available Now,,"$2,40",,,,,,
Torrance,Condos,CA,90501,"[{'bedroom_type': '2 Beds', 'price': '$2,55'}]","Torrance, CA 90501",https://www.apartments.com/1614-w-226th-st-torrance-ca/hk3t8h2/,1 BA,912 Sq Ft,912,12 Month Lease,Available Now,,,"$2,55",,,,,
