City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,2 Beds,3 Beds,4 Beds,Studio,5 Beds,6 Beds,1 – 3 Beds
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '6 Beds', 'price': '$15,00'}]","5173 Gaynor Ave, Los Angeles, CA 91436",https://www.apartments.com/5173-gaynor-ave-los-angeles-ca/q9v2xqz/,6½ BAs,"4,922 Sq Ft","4,922",12 Month Lease,Available Now,,,,,,,"$15,00",
Merced,Houses,CA,95348,"[{'bedroom_type': '3 Beds', 'price': '$1,80'}]","2337 Fern St, Merced, CA 95348",https://www.apartments.com/2337-fern-st-merced-ca/eqn3zcn/,2 BAs,"1,428 Sq Ft","1,428",12 Month Lease,Available Now,,,"$1,80",,,,,
Santa Clara,Houses,CA,95051,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","2598 Dixon Dr, Santa Clara, CA 95051",https://www.apartments.com/2598-dixon-dr-santa-clara-ca/s6045f5/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,00",,,,,,
Daly City,Houses,CA,94014,"[{'bedroom_type': '4 Beds', 'price': '$4,80'}]","178 Abbot Ave, Daly City, CA 94014",https://www.apartments.com/178-abbot-ave-daly-city-ca/e8bggsp/,2 BAs,"1,500 Sq Ft","1,500",,Available Now,,,,"$4,80",,,,
Venice,Houses,CA,90291,"[{'bedroom_type': '1 Bed', 'price': '$2,80'}]","642 Rose Ave, Venice, CA 90291",https://www.apartments.com/642-rose-ave-venice-ca/jfsj8k6/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,80",,,,,,,
Los Angeles,Houses,CA,91436,"[{'bedroom_type': '6 Beds', 'price': '$15,00'}]","5173 Gaynor Ave, Los Angeles, CA 91436",https://www.apartments.com/5173-gaynor-ave-los-angeles-ca/lh51frd/,6½ BAs,"4,922 Sq Ft","4,922",,Available Now,,,,,,,"$15,00",
Santa Rosa,Houses,CA,95409,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","4941 Snark Ave, Santa Rosa, CA 95409",https://www.apartments.com/4941-snark-ave-santa-rosa-ca/mbjlsch/,1 BA,"1,300 Sq Ft","1,300",3 Month Lease,Available Now,,"$2,30",,,,,,
Danville,Houses,CA,94506,"[{'bedroom_type': '4 Beds', 'price': '$4,95'}]","340 Shelterwood Ct, Danville, CA 94506",https://www.apartments.com/340-shelterwood-ct-danville-ca/w2n5ejj/,2½ BAs,"3,600 Sq Ft","3,600",12 Month Lease,Available Now,,,,"$4,95",,,,
San Francisco,Houses,CA,94110,"[{'bedroom_type': '2 Beds', 'price': '$3,49'}]","1441 Shotwell St, San Francisco, CA 94110",https://www.apartments.com/1441-shotwell-st-san-francisco-ca/9fhkej5/,1½ BAs,800 Sq Ft,800,12 Month Lease,Available Now,,"$3,49",,,,,,
South San Francisco,Houses,CA,94080,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","564 4th Ln, South San Francisco, CA 94080",https://www.apartments.com/564-4th-ln-south-san-francisco-ca/06zh803/,2 BAs,"2,710 Sq Ft","2,710",12 Month Lease,Available Now,,"$3,50",,,,,,
San Diego,Houses,CA,92109,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","1452 Reed Ave, San Diego, CA 92109",https://www.apartments.com/1452-reed-ave-san-diego-ca/hednsx3/,3½ BAs,"2,226 Sq Ft","2,226",12 Month Lease,Available Now,,,"$6,50",,,,,
Los Angeles,Houses,CA,90047,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","2037 W 96th St, Los Angeles, CA 90047",https://www.apartments.com/2037-w-96th-st-los-angeles-ca/7kcet1w/,1 BA,380 Sq Ft,380,12 Month Lease,Available Now,"$1,60",,,,,,,
Long Beach,Houses,CA,90804,"[{'bedroom_type': '1 Bed', 'price': '$1,79'}]","1069 Termino Ave, Long Beach, CA 90804",https://www.apartments.com/1069-termino-ave-long-beach-ca/kyn8vmc/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,79",,,,,,,
San Diego,Houses,CA,92102,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","2746 C St, San Diego, CA 92102",https://www.apartments.com/2746-c-st-san-diego-ca/lrfvdqd/,1 BA,600 Sq Ft,600,12 Month Lease,Feb 1,"$1,99",,,,,,,
Pacific Palisades,Houses,CA,90272,"[{'bedroom_type': '3 Beds', 'price': '$7,99'}]","660 Las Lomas Ave, Pacific Palisades, CA 90272",https://www.apartments.com/660-las-lomas-ave-pacific-palisades-ca/4vteygl/,2 BAs,"1,761 Sq Ft","1,761",12 Month Lease,Available Now,,,"$7,99",,,,,
Lawndale,Houses,CA,90260,"[{'bedroom_type': '3 Beds', 'price': '$3,30'}]","15133 Osage Ave, Lawndale, CA 90260",https://www.apartments.com/15133-osage-ave-lawndale-ca/y4476js/,2½ BAs,"1,325 Sq Ft","1,325",12 Month Lease,Available Now,,,"$3,30",,,,,
